Wavelength (nm),Prussian Blue
1.894,0.679877
1.895,0.673884
1.896,0.667763
1.897,0.661597
1.898,0.655252
1.899,0.648883
1.9,0.64266
1.901,0.636516
1.902,0.63062
1.903,0.624797
1.904,0.619142
1.905,0.613817
1.906,0.608626
1.907,0.603684
1.908,0.599068
1.909,0.594665
1.91,0.590469
1.911,0.586545
1.912,0.582856
1.913,0.579336
1.914,0.576065
1.915,0.573115
1.916,0.570562
1.917,0.568425
1.918,0.566497
1.919,0.564758
1.92,0.563199
1.921,0.561838
1.922,0.560561
1.923,0.559488
1.924,0.558636
1.925,0.557888
1.926,0.557212
1.927,0.556741
1.928,0.556508
1.929,0.556412
1.93,0.556348
1.931,0.556453
1.932,0.556686
1.933,0.557042
1.934,0.55743
1.935,0.55822
1.936,0.559116
1.937,0.560047
1.938,0.561158
1.939,0.562232
1.94,0.563351
1.941,0.564549
1.942,0.565841
1.943,0.567205
1.944,0.568664
1.945,0.57026
1.946,0.571849
1.947,0.573399
1.948,0.575092
1.949,0.57686
1.95,0.578628
1.951,0.580417
1.952,0.582262
1.953,0.584164
1.954,0.586043
1.955,0.588026
1.956,0.590264
1.957,0.592233
1.958,0.594102
1.959,0.595957
1.96,0.597734
1.961,0.599512
1.962,0.601476
1.963,0.603379
1.964,0.6052
1.965,0.607162
1.966,0.609044
1.967,0.610824
1.968,0.612696
1.969,0.61459
1.97,0.616498
1.971,0.618427
1.972,0.620434
1.973,0.622378
1.974,0.624312
1.975,0.626237
1.976,0.628116
1.977,0.629965
1.978,0.631915
1.979,0.633883
1.98,0.635964
1.981,0.637851
1.982,0.639772
1.983,0.64152
1.984,0.643093
1.985,0.644561
1.986,0.646088
1.987,0.647528
1.988,0.648787
1.989,0.6501
1.99,0.651362
1.991,0.65252
1.992,0.653729
1.993,0.655001
1.994,0.656147
1.995,0.657272
1.996,0.65828
1.997,0.659174
1.998,0.660028
1.999,0.660934
2.0,0.661728
2.001,0.662426
2.002,0.663106
2.003,0.66368
2.004,0.664119
2.005,0.664499
2.006,0.664858
2.007,0.665063
2.008,0.665084
2.009,0.665121
2.01,0.665155
2.011,0.665021
2.012,0.66482
2.013,0.664485
2.014,0.663983
2.015,0.663384
2.016,0.662672
2.017,0.66188
2.018,0.660938
2.019,0.659772
2.02,0.658666
2.021,0.65752
2.022,0.656268
2.023,0.654961
2.024,0.653603
2.025,0.652185
2.026,0.650624
2.027,0.649053
2.028,0.647452
2.029,0.645672
2.03,0.643848
2.031,0.641969
2.032,0.639968
2.033,0.63803
2.034,0.636053
2.035,0.634097
2.036,0.632196
2.037,0.630202
2.038,0.628217
2.039,0.626131
2.04,0.62394
2.041,0.621771
2.042,0.619432
2.043,0.617038
2.044,0.614643
2.045,0.612146
2.046,0.609687
2.047,0.607293
2.048,0.60476
2.049,0.602097
2.05,0.599537
2.051,0.596847
2.052,0.594355
2.053,0.591959
2.054,0.589683
2.055,0.587592
2.056,0.585531
2.057,0.583375
2.058,0.581257
2.059,0.579043
2.06,0.576646
2.061,0.574417
2.062,0.572262
2.063,0.570057
2.064,0.567854
2.065,0.565699
2.066,0.563474
2.067,0.561395
2.068,0.559467
2.069,0.557491
2.07,0.555521
2.071,0.553658
2.072,0.551739
2.073,0.549834
2.074,0.548148
2.075,0.546605
2.076,0.545088
2.077,0.543717
2.078,0.54238
2.079,0.541043
2.08,0.539853
2.081,0.538789
2.082,0.537792
2.083,0.536903
2.084,0.536075
2.085,0.535345
2.086,0.53464
2.087,0.534054
2.088,0.533422
2.089,0.532706
2.09,0.532158
2.091,0.531597
2.092,0.531038
2.093,0.530505
2.094,0.53002
2.095,0.529584
2.096,0.529124
2.097,0.528754
2.098,0.528442
2.099,0.52823
2.1,0.528144
2.101,0.528047
2.102,0.528068
2.103,0.528003
2.104,0.528007
2.105,0.528061
2.106,0.528184
2.107,0.528547
2.108,0.528993
2.109,0.529571
2.11,0.530189
2.111,0.531004
2.112,0.531734
2.113,0.532426
2.114,0.53321
2.115,0.533948
2.116,0.53489
2.117,0.53606
2.118,0.537161
2.119,0.538422
2.12,0.539578
2.121,0.540597
2.122,0.541673
2.123,0.542899
2.124,0.543997
2.125,0.545305
2.126,0.546813
2.127,0.548169
2.128,0.549576
2.129,0.550923
2.13,0.552222
2.131,0.553454
2.132,0.5547
2.133,0.555837
2.134,0.556803
2.135,0.557836
2.136,0.558807
2.137,0.559809
2.138,0.560844
2.139,0.5619
2.14,0.562768
2.141,0.563776
2.142,0.564975
2.143,0.566165
2.144,0.567317
2.145,0.568628
2.146,0.569812
2.147,0.570788
2.148,0.571945
2.149,0.573153
2.15,0.57448
2.151,0.575961
2.152,0.577337
2.153,0.578811
2.154,0.580211
2.155,0.581426
2.156,0.582782
2.157,0.584156
2.158,0.585621
2.159,0.587239
2.16,0.588809
2.161,0.59032
2.162,0.591897
2.163,0.593299
2.164,0.594491
2.165,0.595888
2.166,0.597344
2.167,0.59868
2.168,0.600027
2.169,0.601394
2.17,0.602598
2.171,0.604003
2.172,0.605603
2.173,0.607087
2.174,0.608668
2.175,0.610106
2.176,0.611437
2.177,0.612779
2.178,0.614158
2.179,0.615294
2.18,0.616339
2.181,0.617498
2.182,0.618563
2.183,0.619622
2.184,0.620919
2.185,0.622264
2.186,0.623602
2.187,0.625013
2.188,0.626384
2.189,0.627803
2.19,0.629089
2.191,0.630352
2.192,0.63152
2.193,0.632463
2.194,0.6336
2.195,0.634784
2.196,0.635972
2.197,0.637274
2.198,0.638516
2.199,0.639784
2.2,0.640938
2.201,0.641963
2.202,0.643092
2.203,0.644243
2.204,0.645209
2.205,0.646299
2.206,0.647444
2.207,0.648383
2.208,0.64938
2.209,0.650222
2.21,0.650972
2.211,0.651628
2.212,0.652133
2.213,0.652695
2.214,0.653155
2.215,0.653778
2.216,0.654601
2.217,0.655089
2.218,0.655533
2.219,0.655888
2.22,0.655925
2.221,0.656108
2.222,0.656361
2.223,0.656545
2.224,0.65677
2.225,0.656843
2.226,0.656809
2.227,0.656794
2.228,0.656645
2.229,0.656297
2.23,0.656001
2.231,0.655644
2.232,0.655177
2.233,0.654607
2.234,0.653951
2.235,0.653205
2.236,0.652246
2.237,0.65108
2.238,0.649986
2.239,0.648788
2.24,0.647451
2.241,0.646159
2.242,0.644548
2.243,0.642668
2.244,0.640715
2.245,0.638564
2.246,0.636358
2.247,0.633943
2.248,0.631582
2.249,0.629304
2.25,0.626779
2.251,0.624224
2.252,0.621423
2.253,0.61814
2.254,0.615113
2.255,0.612124
2.256,0.609083
2.257,0.605923
2.258,0.60276
2.259,0.599543
2.26,0.59605
2.261,0.592499
2.262,0.588764
2.263,0.584912
2.264,0.58134
2.265,0.578055
2.266,0.575174
2.267,0.572659
2.268,0.570121
2.269,0.567798
2.27,0.565603
2.271,0.563961
2.272,0.562466
2.273,0.561586
2.274,0.561452
2.275,0.561361
2.276,0.561502
2.277,0.562143
2.278,0.563368
2.279,0.564481
2.28,0.566071
2.281,0.567438
2.282,0.568809
2.283,0.570056
2.284,0.571285
2.285,0.5724
2.286,0.57324
2.287,0.574189
2.288,0.575241
2.289,0.576234
2.29,0.576737
2.291,0.577041
2.292,0.576882
2.293,0.57642
2.294,0.575969
2.295,0.575389
2.296,0.574732
2.297,0.574001
2.298,0.573128
2.299,0.572
2.3,0.570741
2.301,0.569472
2.302,0.568185
2.303,0.567056
2.304,0.565937
2.305,0.564679
2.306,0.563328
2.307,0.561794
2.308,0.560125
2.309,0.55819
2.31,0.556172
2.311,0.554309
2.312,0.552493
2.313,0.550712
2.314,0.548957
2.315,0.547333
2.316,0.545677
2.317,0.543966
2.318,0.542335
2.319,0.540746
2.32,0.539133
2.321,0.537547
2.322,0.536038
2.323,0.534717
2.324,0.533135
2.325,0.531171
2.326,0.529784
2.327,0.52853
2.328,0.527274
2.329,0.526476
2.33,0.525632
2.331,0.524575
2.332,0.52387
2.333,0.523625
2.334,0.523171
2.335,0.522857
2.336,0.522069
2.337,0.521518
2.338,0.521314
2.339,0.520866
2.34,0.521028
2.341,0.521364
2.342,0.521274
2.343,0.52161
2.344,0.521957
2.345,0.521563
2.346,0.521268
2.347,0.521069
2.348,0.520364
2.349,0.520101
2.35,0.519652
2.351,0.518491
2.352,0.517318
2.353,0.516085
2.354,0.514721
2.355,0.513142
2.356,0.511608
2.357,0.509802
2.358,0.507644
2.359,0.505281
2.36,0.502526
2.361,0.499701
2.362,0.49706
2.363,0.494484
2.364,0.492188
2.365,0.49068
2.366,0.489689
2.367,0.488921
2.368,0.488538
2.369,0.488407
2.37,0.488373
2.371,0.489002
2.372,0.489873
2.373,0.490643
2.374,0.491854
2.375,0.493535
2.376,0.496289
2.377,0.499563
2.378,0.502247
2.379,0.504079
2.38,0.505487
2.381,0.507024
2.382,0.508436
2.383,0.510224
2.384,0.512414
2.385,0.514001
2.386,0.51517
2.387,0.516317
2.388,0.516665
2.389,0.516497
2.39,0.517164
2.391,0.517884
2.392,0.51839
2.393,0.519384
2.394,0.519697
2.395,0.519524
2.396,0.519657
2.397,0.519099
2.398,0.518711
2.399,0.518714
2.4,0.517952
2.401,0.517864
2.402,0.517263
2.403,0.515394
2.404,0.514245
2.405,0.513173
2.406,0.51286
2.407,0.513269
2.408,0.513424
2.409,0.514312
2.41,0.514954
2.411,0.515199
2.412,0.516333
2.413,0.518038
2.414,0.518565
2.415,0.518014
2.416,0.51775
2.417,0.516426
2.418,0.515514
2.419,0.517228
2.42,0.51909
2.421,0.519646
2.422,0.519788
2.423,0.518511
2.424,0.516267
2.425,0.515456
2.426,0.514712
2.427,0.513226
2.428,0.512293
2.429,0.512514
2.43,0.512263
2.431,0.511461
2.432,0.51106
2.433,0.508972
2.434,0.506555
2.435,0.505097
2.436,0.503976
2.437,0.501744
2.438,0.4985
2.439,0.496228
2.44,0.492738
2.441,0.488817
2.442,0.487343
2.443,0.486168
2.444,0.483777
2.445,0.480789
2.446,0.478966
2.447,0.476817
2.448,0.473295
2.449,0.473043
2.45,0.470924
2.451,0.466989
2.452,0.467248
2.453,0.466404
2.454,0.465712
2.455,0.464748
2.456,0.459299
2.457,0.45595
2.458,0.453677
2.459,0.450073
2.46,0.449587
2.461,0.448161
2.462,0.44556
2.463,0.442578
2.464,0.43813
2.465,0.436572
2.466,0.43485
2.467,0.433383
2.468,0.435762
2.469,0.436223
2.47,0.434673
2.471,0.433636
2.472,0.434347
2.473,0.43437
2.474,0.43033
2.475,0.425463
2.476,0.416359
2.477,0.41378
2.478,0.417309
2.479,0.418913
2.48,0.422382
2.481,0.422919
2.482,0.42256
2.483,0.421718
2.484,0.420837
2.485,0.420464
2.486,0.41775
2.487,0.41661
2.488,0.415273
2.489,0.414453
2.49,0.415502
2.491,0.414802
2.492,0.415382
2.493,0.413022
2.494,0.41132
2.495,0.407035
2.496,0.405187
2.497,0.40568
2.498,0.404923
2.499,0.414914
2.5,0.42261
