Wavelength (nm),Red Lead
0.35,0.40713
0.351,0.389165
0.352,0.380398
0.353,0.378123
0.354,0.373082
0.355,0.370529
0.356,0.37448
0.357,0.376357
0.358,0.36748
0.359,0.364619
0.36,0.35922
0.361,0.354717
0.362,0.359854
0.363,0.356806
0.364,0.352523
0.365,0.350409
0.366,0.347775
0.367,0.346017
0.368,0.349079
0.369,0.353855
0.37,0.34612
0.371,0.342137
0.372,0.342285
0.373,0.343252
0.374,0.342956
0.375,0.341308
0.376,0.341302
0.377,0.344387
0.378,0.341231
0.379,0.339157
0.38,0.340122
0.381,0.341559
0.382,0.33666
0.383,0.332075
0.384,0.331751
0.385,0.335022
0.386,0.332594
0.387,0.33051
0.388,0.331297
0.389,0.328393
0.39,0.326334
0.391,0.326186
0.392,0.32682
0.393,0.323487
0.394,0.32202
0.395,0.321926
0.396,0.320985
0.397,0.321134
0.398,0.320351
0.399,0.319148
0.4,0.319207
0.401,0.316313
0.402,0.31504
0.403,0.316155
0.404,0.315288
0.405,0.314806
0.406,0.313312
0.407,0.310592
0.408,0.310045
0.409,0.310044
0.41,0.309547
0.411,0.30818
0.412,0.307189
0.413,0.307371
0.414,0.307964
0.415,0.307539
0.416,0.30635
0.417,0.305477
0.418,0.305369
0.419,0.305663
0.42,0.303683
0.421,0.302235
0.422,0.302896
0.423,0.303065
0.424,0.302134
0.425,0.301472
0.426,0.302169
0.427,0.301666
0.428,0.301234
0.429,0.30103
0.43,0.300522
0.431,0.299798
0.432,0.299565
0.433,0.299679
0.434,0.298974
0.435,0.298291
0.436,0.298197
0.437,0.298656
0.438,0.298349
0.439,0.298412
0.44,0.298515
0.441,0.298077
0.442,0.29815
0.443,0.29824
0.444,0.298067
0.445,0.297684
0.446,0.298189
0.447,0.298385
0.448,0.29779
0.449,0.297646
0.45,0.297704
0.451,0.297514
0.452,0.296906
0.453,0.296956
0.454,0.296875
0.455,0.296656
0.456,0.296687
0.457,0.296518
0.458,0.296215
0.459,0.29602
0.46,0.296292
0.461,0.296017
0.462,0.295758
0.463,0.295951
0.464,0.295718
0.465,0.295679
0.466,0.295786
0.467,0.29573
0.468,0.295456
0.469,0.295312
0.47,0.295352
0.471,0.295325
0.472,0.295256
0.473,0.294826
0.474,0.294145
0.475,0.294371
0.476,0.294421
0.477,0.294318
0.478,0.294326
0.479,0.293933
0.48,0.293724
0.481,0.293796
0.482,0.293816
0.483,0.293604
0.484,0.293392
0.485,0.293302
0.486,0.29314
0.487,0.293175
0.488,0.293157
0.489,0.292886
0.49,0.293079
0.491,0.293088
0.492,0.292817
0.493,0.292592
0.494,0.292507
0.495,0.292461
0.496,0.292385
0.497,0.292305
0.498,0.292171
0.499,0.291981
0.5,0.291822
0.501,0.292152
0.502,0.291919
0.503,0.291358
0.504,0.291434
0.505,0.291145
0.506,0.291121
0.507,0.291447
0.508,0.29107
0.509,0.290988
0.51,0.291067
0.511,0.290986
0.512,0.290932
0.513,0.290851
0.514,0.290787
0.515,0.29083
0.516,0.290861
0.517,0.290935
0.518,0.291036
0.519,0.291001
0.52,0.290922
0.521,0.290936
0.522,0.291123
0.523,0.291329
0.524,0.291487
0.525,0.291684
0.526,0.292075
0.527,0.292392
0.528,0.292661
0.529,0.292927
0.53,0.293182
0.531,0.293468
0.532,0.293898
0.533,0.294511
0.534,0.294963
0.535,0.295457
0.536,0.296133
0.537,0.297042
0.538,0.297988
0.539,0.298994
0.54,0.300132
0.541,0.301507
0.542,0.302976
0.543,0.30467
0.544,0.306751
0.545,0.309035
0.546,0.311628
0.547,0.314552
0.548,0.317771
0.549,0.321638
0.55,0.325986
0.551,0.330719
0.552,0.336002
0.553,0.342547
0.554,0.350283
0.555,0.358975
0.556,0.369011
0.557,0.380029
0.558,0.391719
0.559,0.403872
0.56,0.416365
0.561,0.429153
0.562,0.442188
0.563,0.455348
0.564,0.468736
0.565,0.482582
0.566,0.497224
0.567,0.512239
0.568,0.527392
0.569,0.54251
0.57,0.55745
0.571,0.572249
0.572,0.586788
0.573,0.601093
0.574,0.615516
0.575,0.629026
0.576,0.641104
0.577,0.652926
0.578,0.667584
0.579,0.683989
0.58,0.700644
0.581,0.715917
0.582,0.730213
0.583,0.743515
0.584,0.755876
0.585,0.76769
0.586,0.77982
0.587,0.792895
0.588,0.807189
0.589,0.82196
0.59,0.836577
0.591,0.849972
0.592,0.860141
0.593,0.867455
0.594,0.873137
0.595,0.878452
0.596,0.882876
0.597,0.887126
0.598,0.891788
0.599,0.8972
0.6,0.902495
0.601,0.907328
0.602,0.911671
0.603,0.91595
0.604,0.91994
0.605,0.923681
0.606,0.927279
0.607,0.930472
0.608,0.933374
0.609,0.936097
0.61,0.938713
0.611,0.940941
0.612,0.943026
0.613,0.945196
0.614,0.947224
0.615,0.948998
0.616,0.95074
0.617,0.952796
0.618,0.954684
0.619,0.956253
0.62,0.957658
0.621,0.95944
0.622,0.961319
0.623,0.96316
0.624,0.964872
0.625,0.966378
0.626,0.967886
0.627,0.96932
0.628,0.970416
0.629,0.971595
0.63,0.972618
0.631,0.973412
0.632,0.974463
0.633,0.975376
0.634,0.976142
0.635,0.976912
0.636,0.977916
0.637,0.978895
0.638,0.979866
0.639,0.981124
0.64,0.982543
0.641,0.983763
0.642,0.984605
0.643,0.985437
0.644,0.986132
0.645,0.986761
0.646,0.987438
0.647,0.98802
0.648,0.988543
0.649,0.989107
0.65,0.989868
0.651,0.990788
0.652,0.991636
