Wavelength (nm),Orpiment
0.75,0.799971
0.751,0.800112
0.752,0.800462
0.753,0.800596
0.754,0.801049
0.755,0.801665
0.756,0.80191
0.757,0.802474
0.758,0.803179
0.759,0.803855
0.76,0.804492
0.761,0.805052
0.762,0.805594
0.763,0.806186
0.764,0.806853
0.765,0.807447
0.766,0.807991
0.767,0.808558
0.768,0.808959
0.769,0.80927
0.77,0.809535
0.771,0.809736
0.772,0.809739
0.773,0.809894
0.774,0.810319
0.775,0.810404
0.776,0.810522
0.777,0.810652
0.778,0.810731
0.779,0.811132
0.78,0.811617
0.781,0.812027
0.782,0.812318
0.783,0.812792
0.784,0.813233
0.785,0.8136
0.786,0.814201
0.787,0.814798
0.788,0.815379
0.789,0.815954
0.79,0.816408
0.791,0.817072
0.792,0.817805
0.793,0.818302
0.794,0.818692
0.795,0.819079
0.796,0.819488
0.797,0.819877
0.798,0.820353
0.799,0.820698
0.8,0.820868
0.801,0.821202
0.802,0.821501
0.803,0.821803
0.804,0.822197
0.805,0.822733
0.806,0.823267
0.807,0.823673
0.808,0.823909
0.809,0.824301
0.81,0.82476
0.811,0.825247
0.812,0.825787
0.813,0.826288
0.814,0.826716
0.815,0.827105
0.816,0.827577
0.817,0.82805
0.818,0.82854
0.819,0.829072
0.82,0.829646
0.821,0.830107
0.822,0.830407
0.823,0.830596
0.824,0.830902
0.825,0.831166
0.826,0.831324
0.827,0.831426
0.828,0.831642
0.829,0.831792
0.83,0.83183
0.831,0.831944
0.832,0.832242
0.833,0.832513
0.834,0.832649
0.835,0.832937
0.836,0.833269
0.837,0.833592
0.838,0.833928
0.839,0.8345
0.84,0.835092
0.841,0.835619
0.842,0.836083
0.843,0.836515
0.844,0.836934
0.845,0.837386
0.846,0.837924
0.847,0.838385
0.848,0.838822
0.849,0.839269
0.85,0.839681
0.851,0.839963
0.852,0.840079
0.853,0.840152
0.854,0.840606
0.855,0.84076
0.856,0.840758
0.857,0.840885
0.858,0.840975
0.859,0.841227
0.86,0.841464
0.861,0.841457
0.862,0.841601
0.863,0.841723
0.864,0.841834
0.865,0.842057
0.866,0.842293
0.867,0.842422
0.868,0.842564
0.869,0.843025
0.87,0.843356
0.871,0.843689
0.872,0.844158
0.873,0.844758
0.874,0.845195
0.875,0.845608
0.876,0.846066
0.877,0.84632
0.878,0.84649
0.879,0.846724
0.88,0.847068
0.881,0.847278
0.882,0.847369
0.883,0.847532
0.884,0.8479
0.885,0.848133
0.886,0.848405
0.887,0.848648
0.888,0.848696
0.889,0.848486
0.89,0.848548
0.891,0.848972
0.892,0.849518
0.893,0.850098
0.894,0.850246
0.895,0.850107
0.896,0.850242
0.897,0.850196
0.898,0.850295
0.899,0.850641
0.9,0.851013
0.901,0.851233
0.902,0.851593
0.903,0.852039
0.904,0.852066
0.905,0.85231
0.906,0.85269
0.907,0.853103
0.908,0.853608
0.909,0.853819
0.91,0.853938
0.911,0.854173
0.912,0.854485
0.913,0.854953
0.914,0.855447
0.915,0.855848
0.916,0.856173
0.917,0.856429
0.918,0.856724
0.919,0.857135
0.92,0.857602
0.921,0.858141
0.922,0.858518
0.923,0.858641
0.924,0.858964
0.925,0.859346
0.926,0.8595969999999999
0.927,0.859666
0.928,0.859954
0.929,0.860188
0.93,0.860366
0.931,0.86061
0.932,0.861179
0.933,0.861355
0.934,0.861381
0.935,0.861665
0.936,0.86191
0.937,0.862266
0.938,0.86282
0.939,0.863527
0.94,0.864029
0.941,0.864442
0.942,0.864777
0.943,0.865118
0.944,0.865909
0.945,0.866568
0.946,0.867054
0.947,0.867559
0.948,0.868264
0.949,0.869145
0.95,0.86986
0.951,0.87019
0.952,0.870615
0.953,0.871005
0.954,0.871365
0.955,0.871761
0.956,0.872341
0.957,0.872742
0.958,0.872968
0.959,0.873146
0.96,0.873365
0.961,0.87328
0.962,0.873304
0.963,0.873698
0.964,0.873904
0.965,0.873986
0.966,0.873962
0.967,0.873948
0.968,0.874206
0.969,0.874274
0.97,0.874422
0.971,0.87472
0.972,0.874697
0.973,0.874895
0.974,0.875145
0.975,0.875375
0.976,0.875797
0.977,0.876151
0.978,0.876591
0.979,0.877063
0.98,0.877289
0.981,0.877633
0.982,0.878025
0.983,0.878421
0.984,0.878845
0.985,0.879279
0.986,0.879918
0.987,0.880595
0.988,0.881011
0.989,0.881602
0.99,0.881626
0.991,0.881745
0.992,0.882851
0.993,0.883748
0.994,0.884385
0.995,0.88487
0.996,0.885368
0.997,0.885947
0.998,0.886146
0.999,0.88654
1.0,0.88744
1.001,0.831701
1.002,0.831928
1.003,0.832174
1.004,0.832403
1.005,0.832652
1.006,0.832924
1.007,0.8332
1.008,0.833426
1.009,0.833743
1.01,0.834069
1.011,0.834354
1.012,0.834627
1.013,0.834827
1.014,0.835081
1.015,0.835418
1.016,0.835707
1.017,0.836014
1.018,0.836347
1.019,0.836681
1.02,0.836957
1.021,0.837399
1.022,0.837855
1.023,0.838321
1.024,0.838857
1.025,0.839157
1.026,0.839398
1.027,0.839761
1.028,0.840103
1.029,0.840477
1.03,0.840889
1.031,0.841328
1.032,0.841654
1.033,0.84187
1.034,0.842102
1.035,0.842311
1.036,0.842443
1.037,0.84264
1.038,0.842884
1.039,0.843061
1.04,0.843198
1.041,0.843273
1.042,0.843345
1.043,0.84339
1.044,0.843389
1.045,0.843375
1.046,0.843385
1.047,0.843383
1.048,0.84342
1.049,0.843398
1.05,0.84336
1.051,0.843237
1.052,0.843132
1.053,0.843021
1.054,0.842875
1.055,0.842762
1.056,0.842598
1.057,0.842416
1.058,0.842278
1.059,0.842116
1.06,0.841952
1.061,0.841799
1.062,0.841633
1.063,0.841485
1.064,0.841342
1.065,0.841217
1.066,0.841086
1.067,0.840937
1.068,0.840785
1.069,0.840642
1.07,0.840469
1.071,0.840303
1.072,0.840158
1.073,0.839997
1.074,0.839875
1.075,0.839789
1.076,0.839739
1.077,0.839684
1.078,0.839574
1.079,0.839442
1.08,0.839304
1.081,0.83914
1.082,0.838992
1.083,0.83894
1.084,0.838935
1.085,0.838877
1.086,0.838872
1.087,0.838934
1.088,0.838934
1.089,0.839008
1.09,0.839127
1.091,0.839132
1.092,0.839174
1.093,0.8392
1.094,0.839158
1.095,0.839171
1.096,0.839212
1.097,0.83926
1.098,0.839298
1.099,0.839418
1.1,0.839536
1.101,0.839638
1.102,0.839774
1.103,0.839892
1.104,0.839995
1.105,0.840163
1.106,0.840337
1.107,0.840526
1.108,0.840747
1.109,0.840939
1.11,0.841174
1.111,0.841422
1.112,0.841707
1.113,0.842017
1.114,0.842378
1.115,0.842743
1.116,0.843111
1.117,0.843414
1.118,0.84369
1.119,0.843948
1.12,0.844204
1.121,0.844499
1.122,0.844797
1.123,0.845076
1.124,0.845351
1.125,0.845634
1.126,0.845916
1.127,0.846189
1.128,0.846474
1.129,0.846754
1.13,0.847026
1.131,0.847295
1.132,0.847571
1.133,0.847789
1.134,0.84796
1.135,0.848145
1.136,0.848268
1.137,0.848334
1.138,0.848432
1.139,0.848528
1.14,0.848591
1.141,0.848684
1.142,0.848782
1.143,0.848903
1.144,0.848949
1.145,0.848985
1.146,0.849001
1.147,0.848975
1.148,0.848904
1.149,0.848846
1.15,0.848759
1.151,0.848638
1.152,0.848528
1.153,0.848405
1.154,0.848295
1.155,0.848183
1.156,0.848009
1.157,0.847837
1.158,0.847656
1.159,0.847469
1.16,0.847265
1.161,0.847048
1.162,0.846817
1.163,0.84658
1.164,0.846353
1.165,0.846087
1.166,0.845798
1.167,0.845501
1.168,0.845195
1.169,0.844844
1.17,0.844544
1.171,0.844305
1.172,0.844019
1.173,0.843719
1.174,0.843394
1.175,0.843014
1.176,0.842674
1.177,0.842344
1.178,0.842003
1.179,0.84167
1.18,0.841336
1.181,0.840976
1.182,0.84064
1.183,0.840327
1.184,0.840008
1.185,0.839689
1.186,0.839374
1.187,0.839071
1.188,0.838768
1.189,0.838471
1.19,0.838193
1.191,0.837897
1.192,0.837606
1.193,0.837367
1.194,0.837146
1.195,0.836952
1.196,0.836807
1.197,0.83667
1.198,0.836532
1.199,0.83644
1.2,0.836411
1.201,0.836353
1.202,0.836303
1.203,0.836265
1.204,0.836219
1.205,0.836182
1.206,0.836181
1.207,0.836192
1.208,0.836218
1.209,0.836272
1.21,0.836366
1.211,0.836503
1.212,0.836638
1.213,0.836817
1.214,0.83697
1.215,0.837094
1.216,0.837281
1.217,0.837498
1.218,0.837709
1.219,0.837971
1.22,0.838206
1.221,0.838392
1.222,0.838643
1.223,0.838949
1.224,0.839212
1.225,0.839518
1.226,0.839828
1.227,0.84011
1.228,0.840404
1.229,0.840715
1.23,0.841052
1.231,0.841361
1.232,0.841672
1.233,0.841983
1.234,0.842277
1.235,0.842579
1.236,0.842912
1.237,0.843192
1.238,0.843432
1.239,0.843693
1.24,0.84393
1.241,0.844177
1.242,0.844429
1.243,0.844703
1.244,0.844977
1.245,0.845263
1.246,0.845601
1.247,0.845926
1.248,0.846262
1.249,0.846612
1.25,0.84697
1.251,0.847342
1.252,0.847716
1.253,0.848089
1.254,0.848488
1.255,0.848898
1.256,0.849321
1.257,0.8498
1.258,0.850225
1.259,0.850651
1.26,0.851037
1.261,0.851404
1.262,0.851722
1.263,0.852034
1.264,0.85226
1.265,0.852432
1.266,0.852525
1.267,0.85254
1.268,0.852526
1.269,0.852482
1.27,0.852405
1.271,0.852258
1.272,0.852046
1.273,0.851859
1.274,0.851616
1.275,0.8514
1.276,0.851219
1.277,0.850994
1.278,0.850739
1.279,0.850477
1.28,0.850221
1.281,0.849919
1.282,0.849586
1.283,0.849234
1.284,0.848837
1.285,0.848448
1.286,0.848035
1.287,0.84764
1.288,0.847248
1.289,0.846865
1.29,0.846472
1.291,0.8461
1.292,0.845737
1.293,0.845378
1.294,0.845026
1.295,0.844707
1.296,0.844346
1.297,0.843956
1.298,0.843598
1.299,0.843207
1.3,0.842889
1.301,0.842618
1.302,0.842358
1.303,0.842149
1.304,0.841924
1.305,0.841697
1.306,0.841488
1.307,0.841268
1.308,0.841093
1.309,0.840937
1.31,0.84082
1.311,0.840737
1.312,0.840687
1.313,0.840675
1.314,0.840685
1.315,0.840684
1.316,0.840688
1.317,0.840729
1.318,0.840788
1.319,0.840836
1.32,0.840915
1.321,0.840978
1.322,0.841017
1.323,0.841074
1.324,0.84115
1.325,0.841221
1.326,0.841299
1.327,0.841356
1.328,0.841398
1.329,0.841452
1.33,0.841515
1.331,0.841544
1.332,0.84158
1.333,0.84159
1.334,0.841555
1.335,0.841523
1.336,0.841501
1.337,0.841448
1.338,0.841375
1.339,0.841283
1.34,0.841178
1.341,0.841034
1.342,0.840932
1.343,0.840823
1.344,0.840748
1.345,0.840716
1.346,0.840646
1.347,0.84058
1.348,0.840501
1.349,0.840398
1.35,0.840306
1.351,0.840223
1.352,0.840125
1.353,0.840012
1.354,0.839908
1.355,0.839801
1.356,0.839692
1.357,0.839579
1.358,0.839479
1.359,0.83938
1.36,0.839288
1.361,0.839193
1.362,0.839127
1.363,0.839101
1.364,0.839042
1.365,0.838987
1.366,0.83895
1.367,0.838894
1.368,0.838815
1.369,0.838735
1.37,0.838659
1.371,0.838573
1.372,0.838462
1.373,0.838369
1.374,0.838292
1.375,0.838189
1.376,0.83811
1.377,0.83795
1.378,0.837787
1.379,0.837515
1.38,0.837179
1.381,0.836757
1.382,0.83625
1.383,0.835676
1.384,0.835013
1.385,0.834308
1.386,0.83356
1.387,0.832729
1.388,0.831868
1.389,0.830885
1.39,0.829809
1.391,0.828634
1.392,0.827357
1.393,0.825986
1.394,0.824522
1.395,0.822973
1.396,0.821307
1.397,0.819537
1.398,0.817683
1.399,0.815741
1.4,0.813674
1.401,0.811509
1.402,0.809243
1.403,0.806853
1.404,0.804384
1.405,0.801841
1.406,0.799182
1.407,0.796401
1.408,0.793557
1.409,0.790606
1.41,0.787609
1.411,0.784527
1.412,0.781413
1.413,0.778206
1.414,0.77502
1.415,0.771785
1.416,0.768574
1.417,0.765335
1.418,0.762155
1.419,0.758995
1.42,0.755861
1.421,0.752754
1.422,0.74969
1.423,0.7466
1.424,0.743622
1.425,0.740718
1.426,0.737858
1.427,0.735152
1.428,0.732547
1.429,0.730044
1.43,0.727637
1.431,0.725377
1.432,0.723224
1.433,0.721197
1.434,0.719311
1.435,0.717534
1.436,0.715868
1.437,0.714305
1.438,0.712875
1.439,0.711525
1.44,0.710253
1.441,0.709105
1.442,0.708093
1.443,0.707129
1.444,0.706273
1.445,0.705458
1.446,0.70469
1.447,0.704009
1.448,0.703405
1.449,0.702861
1.45,0.702425
1.451,0.70199
1.452,0.701579
1.453,0.701235
1.454,0.700917
1.455,0.700672
1.456,0.700524
1.457,0.700397
1.458,0.700335
1.459,0.70028
1.46,0.700269
1.461,0.700255
1.462,0.70023
1.463,0.700246
1.464,0.700286
1.465,0.70033
1.466,0.700442
1.467,0.7006
1.468,0.700803
1.469,0.701053
1.47,0.701339
1.471,0.701662
1.472,0.702051
1.473,0.702506
1.474,0.70296
1.475,0.703463
1.476,0.703982
1.477,0.704499
1.478,0.705076
1.479,0.705726
1.48,0.706347
1.481,0.70698
1.482,0.707633
1.483,0.708275
1.484,0.70897
1.485,0.709718
1.486,0.710457
1.487,0.711218
1.488,0.711988
1.489,0.712755
1.49,0.71355
1.491,0.714384
1.492,0.715199
1.493,0.71602
1.494,0.716843
1.495,0.717665
1.496,0.718485
1.497,0.719313
1.498,0.720135
1.499,0.720958
1.5,0.721767
1.501,0.722571
1.502,0.723369
1.503,0.724156
1.504,0.724933
1.505,0.725704
1.506,0.726469
1.507,0.727206
1.508,0.727964
1.509,0.728739
1.51,0.729503
1.511,0.730278
1.512,0.731046
1.513,0.731787
1.514,0.732519
1.515,0.733205
1.516,0.733869
1.517,0.734483
1.518,0.735033
1.519,0.735622
1.52,0.736195
1.521,0.736763
1.522,0.737354
1.523,0.73789
1.524,0.738387
1.525,0.738879
1.526,0.739339
1.527,0.739822
1.528,0.74031
1.529,0.740777
1.53,0.741246
1.531,0.741702
1.532,0.74216
1.533,0.74256
1.534,0.742949
1.535,0.743294
1.536,0.743582
1.537,0.743846
1.538,0.74407
1.539,0.744298
1.54,0.744497
1.541,0.744681
1.542,0.744857
1.543,0.745032
1.544,0.745175
1.545,0.745329
1.546,0.74548
1.547,0.74566
1.548,0.745849
1.549,0.746039
1.55,0.746261
1.551,0.746468
1.552,0.746672
1.553,0.746859
1.554,0.747037
1.555,0.747221
1.556,0.747374
1.557,0.747556
1.558,0.747768
1.559,0.747964
1.56,0.748157
1.561,0.748358
1.562,0.748539
1.563,0.748763
1.564,0.749013
1.565,0.749277
1.566,0.749571
1.567,0.74987
1.568,0.750169
1.569,0.750493
1.57,0.750849
1.571,0.751202
1.572,0.751565
1.573,0.751942
1.574,0.75232
1.575,0.752718
1.576,0.753131
1.577,0.753567
1.578,0.754036
1.579,0.754493
1.58,0.754987
1.581,0.755445
1.582,0.755856
1.583,0.756294
1.584,0.756719
1.585,0.757155
1.586,0.757641
1.587,0.758131
1.588,0.758644
1.589,0.759159
1.59,0.759671
1.591,0.760218
1.592,0.760782
1.593,0.761351
1.594,0.761931
1.595,0.762529
1.596,0.763121
1.597,0.763719
1.598,0.764328
1.599,0.764906
1.6,0.765498
1.601,0.766102
1.602,0.766695
1.603,0.767313
1.604,0.767946
1.605,0.76858
1.606,0.769265
1.607,0.77001
1.608,0.77076
1.609,0.771529
1.61,0.772298
1.611,0.773016
1.612,0.773753
1.613,0.774489
1.614,0.775162
1.615,0.775838
1.616,0.776489
1.617,0.777121
1.618,0.777831
1.619,0.778592
1.62,0.779383
1.621,0.780151
1.622,0.780923
1.623,0.781703
1.624,0.782431
1.625,0.783206
1.626,0.783961
1.627,0.784655
1.628,0.78539
1.629,0.786095
1.63,0.786735
1.631,0.787391
1.632,0.788058
1.633,0.788699
1.634,0.789393
1.635,0.790104
1.636,0.79079
1.637,0.791555
1.638,0.792368
1.639,0.793202
1.64,0.794055
1.641,0.794868
1.642,0.79562
1.643,0.796367
1.644,0.79713
1.645,0.797845
1.646,0.798557
1.647,0.799261
1.648,0.799885
1.649,0.800494
1.65,0.801069
1.651,0.801585
1.652,0.802154
1.653,0.802672
1.654,0.803121
1.655,0.803567
1.656,0.803898
1.657,0.804232
1.658,0.804557
1.659,0.804829
1.66,0.805167
1.661,0.805466
1.662,0.805745
1.663,0.806021
1.664,0.806131
1.665,0.806125
1.666,0.806056
1.667,0.80594
1.668,0.805822
1.669,0.805653
1.67,0.805452
1.671,0.805247
1.672,0.805022
1.673,0.804833
1.674,0.804673
1.675,0.804417
1.676,0.804122
1.677,0.803806
1.678,0.803411
1.679,0.803066
1.68,0.802734
1.681,0.802345
1.682,0.80196
1.683,0.801499
1.684,0.800989
1.685,0.800537
1.686,0.800104
1.687,0.799715
1.688,0.799395
1.689,0.799059
1.69,0.798763
1.691,0.798531
1.692,0.798292
1.693,0.7981
1.694,0.797907
1.695,0.797645
1.696,0.79741
1.697,0.797149
1.698,0.79686
1.699,0.796607
1.7,0.796335
1.701,0.796078
1.702,0.795766
1.703,0.795461
1.704,0.795141
1.705,0.794811
1.706,0.794506
1.707,0.794186
1.708,0.79388
1.709,0.793502
1.71,0.79303
1.711,0.79261
1.712,0.792161
1.713,0.791756
1.714,0.791453
1.715,0.791069
1.716,0.790616
1.717,0.790201
1.718,0.789805
1.719,0.789362
1.72,0.788926
1.721,0.788478
1.722,0.787941
1.723,0.787461
1.724,0.78701
1.725,0.786552
1.726,0.786105
1.727,0.785722
1.728,0.785356
1.729,0.785024
1.73,0.78472
1.731,0.784474
1.732,0.784283
1.733,0.784072
1.734,0.783844
1.735,0.783602
1.736,0.783403
1.737,0.783292
1.738,0.783205
1.739,0.78308
1.74,0.782875
1.741,0.782641
1.742,0.782477
1.743,0.782382
1.744,0.782333
1.745,0.782328
1.746,0.782309
1.747,0.782242
1.748,0.782163
1.749,0.782113
1.75,0.782066
1.751,0.782016
1.752,0.782032
1.753,0.782028
1.754,0.782069
1.755,0.782208
1.756,0.782282
1.757,0.78234
1.758,0.782347
1.759,0.782319
1.76,0.782408
1.761,0.782557
1.762,0.782681
1.763,0.782755
1.764,0.782768
1.765,0.782837
1.766,0.782995
1.767,0.783155
1.768,0.783245
1.769,0.783267
1.77,0.783341
1.771,0.783424
1.772,0.78351
1.773,0.783622
1.774,0.783547
1.775,0.783567
1.776,0.78366
1.777,0.783732
1.778,0.783985
1.779,0.78432
1.78,0.784594
1.781,0.784923
1.782,0.785187
1.783,0.785342
1.784,0.78553
1.785,0.78566
1.786,0.785772
1.787,0.785942
1.788,0.786067
1.789,0.786345
1.79,0.786758
1.791,0.787157
1.792,0.787567
1.793,0.787907
1.794,0.788257
1.795,0.788667
1.796,0.789098
1.797,0.789562
1.798,0.789983
1.799,0.790396
1.8,0.790849
1.801,0.764974
1.802,0.766443
1.803,0.768189
1.804,0.769685
1.805,0.77141
1.806,0.772767
1.807,0.773848
1.808,0.774769
1.809,0.775657
1.81,0.776531
1.811,0.777339
1.812,0.778078
1.813,0.778802
1.814,0.77942
1.815,0.780109
1.816,0.780778
1.817,0.781558
1.818,0.782237
1.819,0.782911
1.82,0.78388
1.821,0.78479
1.822,0.785615
1.823,0.786507
1.824,0.78738
1.825,0.788154
1.826,0.788905
1.827,0.789728
1.828,0.790418
1.829,0.790941
1.83,0.791379
1.831,0.791957
1.832,0.792545
1.833,0.79326
1.834,0.794189
1.835,0.794936
1.836,0.795669
1.837,0.796383
1.838,0.797036
1.839,0.797585
1.84,0.798132
1.841,0.798716
1.842,0.79921
1.843,0.799521
1.844,0.800033
1.845,0.800665
1.846,0.801123
1.847,0.801658
1.848,0.802268
1.849,0.802659
1.85,0.803131
1.851,0.803556
1.852,0.803737
1.853,0.803917
1.854,0.804015
1.855,0.804047
1.856,0.803937
1.857,0.803992
1.858,0.804045
1.859,0.803997
1.86,0.804075
1.861,0.804045
1.862,0.803834
1.863,0.80358
1.864,0.803238
1.865,0.802787
1.866,0.80229
1.867,0.801711
1.868,0.801059
1.869,0.800451
1.87,0.799712
1.871,0.798931
1.872,0.798127
1.873,0.796957
1.874,0.795571
1.875,0.794084
1.876,0.792467
1.877,0.790566
1.878,0.788502
1.879,0.786255
1.88,0.783707
1.881,0.781053
1.882,0.778222
1.883,0.775237
1.884,0.772189
1.885,0.76885
1.886,0.7653
1.887,0.761564
1.888,0.757682
1.889,0.753506
1.89,0.749111
1.891,0.744368
1.892,0.739395
1.893,0.734287
1.894,0.728916
1.895,0.723536
1.896,0.718037
1.897,0.712351
1.898,0.706415
1.899,0.700511
1.9,0.694502
