Wavelength (nm),Shell White
0.73,0.915285
0.731,0.915526
0.732,0.915761
0.733,0.915979
0.734,0.916258
0.735,0.916314
0.736,0.916181
0.737,0.915977
0.738,0.915847
0.739,0.915943
0.74,0.916138
0.741,0.916174
0.742,0.915736
0.743,0.915472
0.744,0.915659
0.745,0.916183
0.746,0.916591
0.747,0.916821
0.748,0.917013
0.749,0.917535
0.75,0.918113
0.751,0.918697
0.752,0.919247
0.753,0.919466
0.754,0.919915
0.755,0.920437
0.756,0.920465
0.757,0.92052
0.758,0.920738
0.759,0.921079
0.76,0.921337
0.761,0.921366
0.762,0.921318
0.763,0.921383
0.764,0.921605
0.765,0.921808
0.766,0.921965
0.767,0.922132
0.768,0.922361
0.769,0.922668
0.77,0.922992
0.771,0.923214
0.772,0.923507
0.773,0.924
0.774,0.924666
0.775,0.925171
0.776,0.925684
0.777,0.926066
0.778,0.92623
0.779,0.926771
0.78,0.927235
0.781,0.927466
0.782,0.927566
0.783,0.927528
0.784,0.927394
0.785,0.927284
0.786,0.927417
0.787,0.927614
0.788,0.927703
0.789,0.927629
0.79,0.927646
0.791,0.927833
0.792,0.928124
0.793,0.928408
0.794,0.928805
0.795,0.92924
0.796,0.929725
0.797,0.930354
0.798,0.931098
0.799,0.931772
0.8,0.932342
0.801,0.933067
0.802,0.933642
0.803,0.934058
0.804,0.934401
0.805,0.934776
0.806,0.935082
0.807,0.935332
0.808,0.935584
0.809,0.935821
0.81,0.93606
0.811,0.936237
0.812,0.936245
0.813,0.936338
0.814,0.936324
0.815,0.936139
0.816,0.936035
0.817,0.93622
0.818,0.936427
0.819,0.936424
0.82,0.936493
0.821,0.936736
0.822,0.937012
0.823,0.937159
0.824,0.937563
0.825,0.937932
0.826,0.938239
0.827,0.938662
0.828,0.938944
0.829,0.939152
0.83,0.939373
0.831,0.93966
0.832,0.939926
0.833,0.940117
0.834,0.940215
0.835,0.940258
0.836,0.940144
0.837,0.939997
0.838,0.939994
0.839,0.940223
0.84,0.940398
0.841,0.940391
0.842,0.940215
0.843,0.940081
0.844,0.939947
0.845,0.939763
0.846,0.939509
0.847,0.939397
0.848,0.939319
0.849,0.939233
0.85,0.939247
0.851,0.939289
0.852,0.939385
0.853,0.939519
0.854,0.939537
0.855,0.939468
0.856,0.939437
0.857,0.939539
0.858,0.939636
0.859,0.939968
0.86,0.940243
0.861,0.940102
0.862,0.940079
0.863,0.940181
0.864,0.940324
0.865,0.940366
0.866,0.940157
0.867,0.939751
0.868,0.93936
0.869,0.939268
0.87,0.939161
0.871,0.939012
0.872,0.938801
0.873,0.938476
0.874,0.938184
0.875,0.937865
0.876,0.93744
0.877,0.936893
0.878,0.936474
0.879,0.936254
0.88,0.936191
0.881,0.93613
0.882,0.935921
0.883,0.935645
0.884,0.935472
0.885,0.935521
0.886,0.935602
0.887,0.935709
0.888,0.935895
0.889,0.935991
0.89,0.936001
0.891,0.936171
0.892,0.936744
0.893,0.937076
0.894,0.937013
0.895,0.936698
0.896,0.936464
0.897,0.936329
0.898,0.936291
0.899,0.936355
0.9,0.936509
0.901,0.936382
0.902,0.936202
0.903,0.936096
0.904,0.93595
0.905,0.935778
0.906,0.935912
0.907,0.93624
0.908,0.935954
0.909,0.93534
0.91,0.934873
0.911,0.934712
0.912,0.934403
0.913,0.934233
0.914,0.934224
0.915,0.934282
0.916,0.934214
0.917,0.934277
0.918,0.934337
0.919,0.934363
0.92,0.934821
0.921,0.935401
0.922,0.935848
0.923,0.936072
0.924,0.936359
0.925,0.936534
0.926,0.936692
0.927,0.93691
0.928,0.936955
0.929,0.937107
0.93,0.937481
0.931,0.938019
0.932,0.938379
0.933,0.938541
0.934,0.9386
0.935,0.938662
0.936,0.938647
0.937,0.938839
0.938,0.939147
0.939,0.939388
0.94,0.939613
0.941,0.939617
0.942,0.93966
0.943,0.939986
0.944,0.940199
0.945,0.940324
0.946,0.940426
0.947,0.940572
0.948,0.940782
0.949,0.940752
0.95,0.940757
0.951,0.94103
0.952,0.941027
0.953,0.940922
0.954,0.940859
0.955,0.940952
0.956,0.941223
0.957,0.94149
0.958,0.941729
0.959,0.941895
0.96,0.941745
0.961,0.941708
0.962,0.941851
0.963,0.942068
0.964,0.94216
0.965,0.942284
0.966,0.942409
0.967,0.942461
0.968,0.942382
0.969,0.942765
0.97,0.943019
0.971,0.942951
0.972,0.943388
0.973,0.943304
0.974,0.943283
0.975,0.943538
0.976,0.943445
0.977,0.943832
0.978,0.944135
0.979,0.944113
0.98,0.944123
0.981,0.944268
0.982,0.944314
0.983,0.944372
0.984,0.944755
0.985,0.94472
0.986,0.944777
0.987,0.944806
0.988,0.944427
0.989,0.944586
0.99,0.944738
0.991,0.944862
0.992,0.945154
0.993,0.94533
0.994,0.945964
0.995,0.946542
0.996,0.946559
0.997,0.946764
0.998,0.946888
0.999,0.947198
1.0,0.947754
1.001,0.90505
1.002,0.90517
1.003,0.905189
1.004,0.905264
1.005,0.90537
1.006,0.90549
1.007,0.90564
1.008,0.905732
1.009,0.905763
1.01,0.905792
1.011,0.905764
1.012,0.905782
1.013,0.905972
1.014,0.906096
1.015,0.906246
1.016,0.90656
1.017,0.906791
1.018,0.907014
1.019,0.90723
1.02,0.907452
1.021,0.907599
1.022,0.907778
1.023,0.908111
1.024,0.908395
1.025,0.908598
1.026,0.908809
1.027,0.908995
1.028,0.909219
1.029,0.909424
1.03,0.909606
1.031,0.90981
1.032,0.909959
1.033,0.910062
1.034,0.910176
1.035,0.910295
1.036,0.910325
1.037,0.910388
1.038,0.910493
1.039,0.910525
1.04,0.910512
1.041,0.910491
1.042,0.910372
1.043,0.910194
1.044,0.910051
1.045,0.909853
1.046,0.909621
1.047,0.909375
1.048,0.909164
1.049,0.908835
1.05,0.908429
1.051,0.908001
1.052,0.907624
1.053,0.907197
1.054,0.906839
1.055,0.906598
1.056,0.906242
1.057,0.905941
1.058,0.905741
1.059,0.905481
1.06,0.905273
1.061,0.905088
1.062,0.904852
1.063,0.90458
1.064,0.904267
1.065,0.903977
1.066,0.903708
1.067,0.903388
1.068,0.90309
1.069,0.902731
1.07,0.902325
1.071,0.901977
1.072,0.901663
1.073,0.901407
1.074,0.901114
1.075,0.900772
1.076,0.900433
1.077,0.900085
1.078,0.899722
1.079,0.899351
1.08,0.89896
1.081,0.898674
1.082,0.898431
1.083,0.89816
1.084,0.897965
1.085,0.897667
1.086,0.897365
1.087,0.897155
1.088,0.896951
1.089,0.89681
1.09,0.896616
1.091,0.89642
1.092,0.896284
1.093,0.896154
1.094,0.896043
1.095,0.895948
1.096,0.895866
1.097,0.895791
1.098,0.895756
1.099,0.895804
1.1,0.895853
1.101,0.895899
1.102,0.895981
1.103,0.896034
1.104,0.896126
1.105,0.896265
1.106,0.896377
1.107,0.896476
1.108,0.896613
1.109,0.896765
1.11,0.896915
1.111,0.897067
1.112,0.897271
1.113,0.897483
1.114,0.897716
1.115,0.898028
1.116,0.898366
1.117,0.898661
1.118,0.898932
1.119,0.89918
1.12,0.899429
1.121,0.899664
1.122,0.899878
1.123,0.900102
1.124,0.900309
1.125,0.900542
1.126,0.900828
1.127,0.901059
1.128,0.901281
1.129,0.901469
1.13,0.901639
1.131,0.901744
1.132,0.901838
1.133,0.901922
1.134,0.901984
1.135,0.902069
1.136,0.902141
1.137,0.902265
1.138,0.902373
1.139,0.902401
1.14,0.902439
1.141,0.902465
1.142,0.902518
1.143,0.9026
1.144,0.902661
1.145,0.902744
1.146,0.902783
1.147,0.902777
1.148,0.902786
1.149,0.902815
1.15,0.902861
1.151,0.902907
1.152,0.902943
1.153,0.902972
1.154,0.902963
1.155,0.902945
1.156,0.902925
1.157,0.902895
1.158,0.902839
1.159,0.902798
1.16,0.902796
1.161,0.902716
1.162,0.902598
1.163,0.902465
1.164,0.902254
1.165,0.902097
1.166,0.901962
1.167,0.901808
1.168,0.901689
1.169,0.901573
1.17,0.90142
1.171,0.901323
1.172,0.901246
1.173,0.901136
1.174,0.901024
1.175,0.90094
1.176,0.90079
1.177,0.900627
1.178,0.900402
1.179,0.900122
1.18,0.899823
1.181,0.89946
1.182,0.899106
1.183,0.898717
1.184,0.89836
1.185,0.898008
1.186,0.897651
1.187,0.897321
1.188,0.897038
1.189,0.896744
1.19,0.896482
1.191,0.896225
1.192,0.895941
1.193,0.8957
1.194,0.895471
1.195,0.895259
1.196,0.895082
1.197,0.894898
1.198,0.89474
1.199,0.89454
1.2,0.894325
1.201,0.894108
1.202,0.893866
1.203,0.89363
1.204,0.89339
1.205,0.893151
1.206,0.892925
1.207,0.892679
1.208,0.892501
1.209,0.892377
1.21,0.892259
1.211,0.892186
1.212,0.892107
1.213,0.892019
1.214,0.891978
1.215,0.891976
1.216,0.891965
1.217,0.891973
1.218,0.892
1.219,0.892032
1.22,0.892081
1.221,0.892147
1.222,0.892243
1.223,0.892388
1.224,0.892488
1.225,0.892581
1.226,0.892696
1.227,0.89276
1.228,0.892826
1.229,0.892934
1.23,0.89309
1.231,0.893204
1.232,0.893308
1.233,0.893436
1.234,0.893578
1.235,0.893681
1.236,0.893794
1.237,0.893882
1.238,0.893903
1.239,0.893976
1.24,0.894088
1.241,0.894167
1.242,0.894241
1.243,0.894311
1.244,0.894343
1.245,0.894405
1.246,0.894508
1.247,0.894641
1.248,0.894819
1.249,0.895037
1.25,0.89529
1.251,0.895598
1.252,0.895887
1.253,0.896229
1.254,0.896513
1.255,0.896764
1.256,0.897027
1.257,0.897275
1.258,0.897522
1.259,0.897803
1.26,0.898016
1.261,0.898189
1.262,0.898353
1.263,0.898516
1.264,0.8986
1.265,0.898644
1.266,0.898657
1.267,0.898571
1.268,0.898457
1.269,0.898328
1.27,0.898185
1.271,0.897979
1.272,0.89773
1.273,0.897461
1.274,0.897147
1.275,0.896812
1.276,0.896472
1.277,0.896069
1.278,0.89563
1.279,0.895142
1.28,0.894557
1.281,0.894022
1.282,0.893462
1.283,0.892917
1.284,0.892404
1.285,0.891883
1.286,0.891358
1.287,0.890832
1.288,0.890303
1.289,0.889796
1.29,0.889294
1.291,0.888743
1.292,0.888196
1.293,0.887636
1.294,0.887094
1.295,0.886545
1.296,0.886002
1.297,0.885468
1.298,0.884945
1.299,0.884392
1.3,0.883916
1.301,0.883499
1.302,0.883072
1.303,0.882694
1.304,0.882288
1.305,0.88183
1.306,0.881448
1.307,0.88104
1.308,0.880749
1.309,0.880568
1.31,0.880396
1.311,0.880258
1.312,0.880199
1.313,0.880209
1.314,0.880216
1.315,0.88022
1.316,0.880279
1.317,0.880312
1.318,0.880296
1.319,0.88034
1.32,0.88041
1.321,0.880524
1.322,0.88065
1.323,0.880825
1.324,0.881073
1.325,0.881308
1.326,0.881583
1.327,0.881821
1.328,0.882037
1.329,0.882279
1.33,0.882532
1.331,0.882762
1.332,0.883013
1.333,0.883241
1.334,0.883423
1.335,0.88362
1.336,0.883818
1.337,0.88403
1.338,0.884217
1.339,0.884391
1.34,0.884587
1.341,0.884775
1.342,0.884987
1.343,0.885239
1.344,0.885441
1.345,0.88563
1.346,0.88582
1.347,0.886002
1.348,0.886161
1.349,0.886305
1.35,0.886461
1.351,0.886585
1.352,0.886741
1.353,0.886939
1.354,0.887111
1.355,0.887276
1.356,0.887442
1.357,0.88761
1.358,0.887765
1.359,0.887919
1.36,0.888061
1.361,0.888185
1.362,0.888308
1.363,0.888421
1.364,0.888525
1.365,0.888659
1.366,0.888797
1.367,0.888951
1.368,0.889135
1.369,0.889303
1.37,0.889484
1.371,0.889633
1.372,0.889778
1.373,0.889899
1.374,0.890006
1.375,0.890081
1.376,0.890145
1.377,0.890171
1.378,0.890191
1.379,0.890122
1.38,0.890017
1.381,0.889833
1.382,0.889534
1.383,0.889243
1.384,0.888918
1.385,0.888556
1.386,0.888127
1.387,0.887741
1.388,0.887321
1.389,0.886939
1.39,0.886611
1.391,0.886278
1.392,0.885934
1.393,0.885625
1.394,0.885337
1.395,0.885076
1.396,0.884808
1.397,0.884577
1.398,0.884295
1.399,0.884019
1.4,0.883661
1.401,0.883261
1.402,0.882831
1.403,0.882345
1.404,0.881837
1.405,0.881341
1.406,0.880732
1.407,0.880066
1.408,0.879324
1.409,0.878428
1.41,0.877627
1.411,0.87673
1.412,0.876001
1.413,0.875298
1.414,0.874776
1.415,0.874424
1.416,0.874107
1.417,0.87398
1.418,0.873793
1.419,0.873652
1.42,0.873463
1.421,0.873258
1.422,0.873032
1.423,0.872757
1.424,0.872491
1.425,0.872221
1.426,0.871946
1.427,0.871659
1.428,0.871366
1.429,0.871068
1.43,0.870748
1.431,0.870452
1.432,0.87016
1.433,0.869876
1.434,0.869579
1.435,0.869352
1.436,0.869149
1.437,0.868983
1.438,0.868888
1.439,0.868769
1.44,0.868657
1.441,0.868555
1.442,0.868481
1.443,0.868375
1.444,0.868268
1.445,0.868147
1.446,0.867987
1.447,0.867854
1.448,0.867711
1.449,0.8676
1.45,0.867513
1.451,0.867429
1.452,0.867358
1.453,0.867307
1.454,0.867276
1.455,0.867241
1.456,0.86723
1.457,0.867208
1.458,0.867143
1.459,0.867132
1.46,0.867148
1.461,0.867179
1.462,0.867287
1.463,0.86735
1.464,0.867398
1.465,0.867441
1.466,0.867454
1.467,0.867418
1.468,0.867435
1.469,0.867451
1.47,0.86749
1.471,0.867581
1.472,0.867603
1.473,0.867601
1.474,0.867604
1.475,0.86757
1.476,0.867564
1.477,0.86758
1.478,0.867578
1.479,0.867549
1.48,0.867572
1.481,0.867604
1.482,0.867665
1.483,0.867774
1.484,0.867873
1.485,0.86797
1.486,0.868099
1.487,0.86825
1.488,0.868407
1.489,0.868596
1.49,0.868769
1.491,0.868942
1.492,0.86911
1.493,0.869269
1.494,0.869434
1.495,0.869594
1.496,0.86976
1.497,0.869944
1.498,0.870107
1.499,0.870268
1.5,0.870416
1.501,0.870517
1.502,0.870665
1.503,0.870838
1.504,0.871008
1.505,0.8712
1.506,0.8714
1.507,0.871575
1.508,0.871793
1.509,0.872058
1.51,0.872321
1.511,0.872604
1.512,0.872894
1.513,0.873203
1.514,0.873519
1.515,0.873857
1.516,0.874247
1.517,0.874545
1.518,0.874831
1.519,0.87507
1.52,0.875239
1.521,0.875426
1.522,0.875596
1.523,0.875766
1.524,0.875912
1.525,0.876093
1.526,0.876278
1.527,0.876492
1.528,0.876728
1.529,0.876982
1.53,0.877264
1.531,0.877541
1.532,0.877839
1.533,0.878117
1.534,0.87839
1.535,0.878654
1.536,0.878911
1.537,0.879164
1.538,0.879416
1.539,0.879649
1.54,0.879871
1.541,0.880082
1.542,0.880259
1.543,0.88047
1.544,0.880685
1.545,0.880913
1.546,0.88117
1.547,0.881411
1.548,0.881654
1.549,0.881892
1.55,0.88212
1.551,0.88236
1.552,0.88262
1.553,0.882846
1.554,0.883039
1.555,0.883267
1.556,0.883483
1.557,0.883719
1.558,0.884019
1.559,0.884268
1.56,0.884481
1.561,0.884712
1.562,0.884897
1.563,0.885151
1.564,0.885455
1.565,0.885759
1.566,0.886142
1.567,0.886456
1.568,0.88674
1.569,0.887008
1.57,0.887252
1.571,0.887456
1.572,0.887595
1.573,0.887779
1.574,0.887945
1.575,0.888126
1.576,0.888375
1.577,0.888578
1.578,0.888743
1.579,0.888912
1.58,0.88906
1.581,0.889215
1.582,0.889373
1.583,0.889531
1.584,0.889679
1.585,0.889851
1.586,0.890018
1.587,0.890204
1.588,0.89042
1.589,0.89061
1.59,0.890786
1.591,0.890964
1.592,0.891128
1.593,0.89132
1.594,0.891538
1.595,0.891775
1.596,0.892005
1.597,0.892237
1.598,0.892529
1.599,0.892795
1.6,0.89303
1.601,0.89333
1.602,0.893693
1.603,0.894029
1.604,0.894352
1.605,0.894714
1.606,0.895031
1.607,0.895342
1.608,0.895684
1.609,0.896024
1.61,0.896371
1.611,0.896709
1.612,0.897062
1.613,0.897406
1.614,0.897727
1.615,0.898033
1.616,0.898366
1.617,0.898723
1.618,0.899045
1.619,0.899406
1.62,0.899783
1.621,0.900136
1.622,0.900512
1.623,0.900814
1.624,0.901042
1.625,0.901284
1.626,0.901523
1.627,0.90176
1.628,0.902025
1.629,0.902296
1.63,0.902563
1.631,0.90286
1.632,0.903134
1.633,0.903398
1.634,0.903708
1.635,0.903982
1.636,0.904273
1.637,0.904633
1.638,0.90493
1.639,0.905184
1.64,0.905423
1.641,0.905622
1.642,0.905822
1.643,0.905997
1.644,0.906158
1.645,0.906348
1.646,0.906529
1.647,0.906687
1.648,0.906832
1.649,0.906976
1.65,0.90717
1.651,0.907354
1.652,0.907537
1.653,0.907757
1.654,0.907931
1.655,0.908108
1.656,0.908284
1.657,0.90841
1.658,0.908537
1.659,0.908671
1.66,0.908757
1.661,0.908801
1.662,0.908867
1.663,0.908893
1.664,0.908922
1.665,0.908995
1.666,0.908942
1.667,0.908834
1.668,0.90879
1.669,0.908744
1.67,0.908696
1.671,0.908637
1.672,0.908506
1.673,0.9083
1.674,0.908105
1.675,0.907887
1.676,0.907624
1.677,0.907435
1.678,0.907224
1.679,0.907012
1.68,0.906879
1.681,0.906684
1.682,0.906467
1.683,0.906239
1.684,0.905926
1.685,0.905623
1.686,0.905381
1.687,0.905135
1.688,0.904925
1.689,0.904731
1.69,0.904491
1.691,0.904318
1.692,0.904209
1.693,0.904093
1.694,0.903967
1.695,0.903796
1.696,0.903573
1.697,0.903364
1.698,0.903165
1.699,0.902958
1.7,0.902757
1.701,0.902565
1.702,0.90239
1.703,0.902258
1.704,0.90216
1.705,0.902085
1.706,0.902079
1.707,0.902032
1.708,0.901999
1.709,0.901931
1.71,0.901786
1.711,0.901695
1.712,0.901664
1.713,0.90156
1.714,0.901446
1.715,0.901326
1.716,0.901175
1.717,0.900964
1.718,0.900699
1.719,0.900482
1.72,0.900167
1.721,0.89999
1.722,0.899952
1.723,0.899899
1.724,0.89987
1.725,0.899863
1.726,0.899904
1.727,0.899921
1.728,0.899925
1.729,0.90003
1.73,0.900136
1.731,0.900309
1.732,0.900563
1.733,0.900819
1.734,0.901086
1.735,0.901362
1.736,0.901593
1.737,0.901767
1.738,0.901841
1.739,0.901798
1.74,0.901789
1.741,0.901787
1.742,0.901729
1.743,0.901735
1.744,0.901761
1.745,0.901779
1.746,0.901854
1.747,0.901924
1.748,0.901916
1.749,0.901788
1.75,0.901662
1.751,0.901565
1.752,0.901415
1.753,0.901419
1.754,0.901498
1.755,0.901425
1.756,0.901362
1.757,0.901289
1.758,0.901171
1.759,0.901156
1.76,0.901228
1.761,0.901255
1.762,0.901233
1.763,0.901232
1.764,0.901259
1.765,0.90133
1.766,0.901395
1.767,0.901435
1.768,0.901494
1.769,0.901502
1.77,0.901641
1.771,0.901902
1.772,0.902094
1.773,0.902322
1.774,0.902505
1.775,0.902692
1.776,0.902846
1.777,0.903066
1.778,0.903357
1.779,0.903544
1.78,0.903698
1.781,0.9039
1.782,0.903984
1.783,0.903996
1.784,0.904124
1.785,0.904261
1.786,0.904391
1.787,0.904567
1.788,0.904707
1.789,0.90485
1.79,0.904981
1.791,0.905097
1.792,0.905219
1.793,0.90527
1.794,0.905363
1.795,0.90548
1.796,0.905538
1.797,0.90567
1.798,0.905819
1.799,0.906003
1.8,0.906296
1.801,0.904837
1.802,0.904731
1.803,0.904392
1.804,0.904277
1.805,0.904272
1.806,0.904236
1.807,0.904271
1.808,0.90421
1.809,0.904172
1.81,0.904214
1.811,0.904304
1.812,0.904438
1.813,0.904633
1.814,0.904978
1.815,0.905186
1.816,0.90538
1.817,0.905584
1.818,0.905658
1.819,0.905713
1.82,0.905951
1.821,0.906076
1.822,0.906101
1.823,0.906002
1.824,0.906024
1.825,0.905951
1.826,0.905989
1.827,0.906142
1.828,0.906352
1.829,0.906426
1.83,0.906486
1.831,0.906721
1.832,0.907172
1.833,0.90737
1.834,0.907624
1.835,0.907734
1.836,0.907647
1.837,0.907526
1.838,0.907415
1.839,0.907265
1.84,0.907287
1.841,0.907314
1.842,0.907371
1.843,0.907612
1.844,0.907738
1.845,0.907805
1.846,0.907869
1.847,0.907941
1.848,0.908073
1.849,0.908262
1.85,0.908355
1.851,0.908569
1.852,0.908686
1.853,0.908713
1.854,0.908773
1.855,0.908666
1.856,0.908414
1.857,0.90807
1.858,0.907635
1.859,0.907156
1.86,0.906655
1.861,0.906232
1.862,0.905917
1.863,0.905431
1.864,0.904931
1.865,0.904405
1.866,0.903824
1.867,0.903172
1.868,0.902622
1.869,0.902127
1.87,0.901657
1.871,0.901129
1.872,0.900627
1.873,0.900124
1.874,0.899471
1.875,0.898766
1.876,0.898019
1.877,0.897236
1.878,0.896292
1.879,0.895494
1.88,0.894841
1.881,0.894061
1.882,0.893414
1.883,0.892608
1.884,0.89147
1.885,0.890376
1.886,0.889237
1.887,0.887973
1.888,0.886657
1.889,0.885466
1.89,0.884142
1.891,0.882693
1.892,0.881194
1.893,0.879566
1.894,0.878029
1.895,0.876389
1.896,0.8746
1.897,0.872772
1.898,0.870906
1.899,0.868849
1.9,0.866824
1.901,0.864753
