Wavelength (nm),Indigo
1.894,0.512122
1.895,0.505029
1.896,0.497997
1.897,0.490816
1.898,0.483398
1.899,0.475956
1.9,0.468663
1.901,0.461283
1.902,0.454024
1.903,0.44682
1.904,0.439656
1.905,0.432715
1.906,0.425888
1.907,0.419279
1.908,0.412911
1.909,0.406794
1.91,0.400829
1.911,0.39521
1.912,0.389854
1.913,0.384738
1.914,0.37995
1.915,0.375309
1.916,0.37095
1.917,0.367011
1.918,0.363244
1.919,0.359751
1.92,0.356502
1.921,0.353532
1.922,0.350712
1.923,0.348165
1.924,0.345857
1.925,0.343803
1.926,0.342039
1.927,0.340511
1.928,0.339168
1.929,0.337989
1.93,0.336942
1.931,0.3361
1.932,0.335426
1.933,0.33499
1.934,0.334746
1.935,0.33473
1.936,0.334956
1.937,0.33528
1.938,0.335724
1.939,0.33633
1.94,0.337092
1.941,0.337985
1.942,0.33898
1.943,0.340166
1.944,0.341394
1.945,0.342722
1.946,0.344051
1.947,0.345495
1.948,0.347041
1.949,0.348649
1.95,0.350325
1.951,0.352129
1.952,0.353945
1.953,0.355861
1.954,0.357894
1.955,0.359976
1.956,0.362212
1.957,0.364305
1.958,0.366401
1.959,0.36841
1.96,0.370393
1.961,0.372529
1.962,0.374714
1.963,0.376866
1.964,0.378955
1.965,0.380958
1.966,0.382988
1.967,0.384935
1.968,0.386967
1.969,0.389059
1.97,0.391146
1.971,0.393261
1.972,0.395375
1.973,0.397459
1.974,0.399531
1.975,0.401638
1.976,0.403731
1.977,0.405851
1.978,0.408034
1.979,0.410196
1.98,0.412384
1.981,0.414537
1.982,0.416705
1.983,0.418798
1.984,0.420851
1.985,0.422877
1.986,0.424761
1.987,0.426616
1.988,0.428476
1.989,0.43023
1.99,0.431982
1.991,0.433765
1.992,0.435463
1.993,0.437022
1.994,0.4387
1.995,0.440529
1.996,0.442115
1.997,0.44372
1.998,0.445063
1.999,0.446267
2.0,0.447361
2.001,0.448367
2.002,0.449516
2.003,0.450506
2.004,0.451415
2.005,0.452238
2.006,0.453002
2.007,0.453639
2.008,0.454205
2.009,0.454641
2.01,0.454913
2.011,0.455181
2.012,0.455407
2.013,0.455439
2.014,0.455509
2.015,0.455479
2.016,0.455363
2.017,0.45513
2.018,0.454898
2.019,0.454654
2.02,0.454269
2.021,0.453865
2.022,0.453267
2.023,0.452415
2.024,0.451595
2.025,0.450762
2.026,0.449743
2.027,0.448538
2.028,0.447483
2.029,0.446218
2.03,0.444939
2.031,0.443616
2.032,0.442345
2.033,0.440867
2.034,0.43921
2.035,0.437577
2.036,0.435959
2.037,0.434161
2.038,0.432206
2.039,0.430278
2.04,0.428245
2.041,0.426186
2.042,0.424073
2.043,0.421955
2.044,0.419733
2.045,0.417291
2.046,0.415037
2.047,0.412848
2.048,0.410609
2.049,0.408413
2.05,0.406154
2.051,0.403728
2.052,0.401517
2.053,0.3993
2.054,0.397286
2.055,0.395544
2.056,0.393769
2.057,0.39199
2.058,0.390158
2.059,0.388232
2.06,0.386101
2.061,0.384208
2.062,0.382389
2.063,0.380532
2.064,0.378697
2.065,0.376942
2.066,0.375156
2.067,0.373474
2.068,0.371937
2.069,0.370405
2.07,0.368928
2.071,0.367436
2.072,0.365924
2.073,0.36458
2.074,0.3632
2.075,0.361776
2.076,0.360507
2.077,0.35935
2.078,0.358144
2.079,0.356974
2.08,0.355868
2.081,0.354755
2.082,0.353747
2.083,0.35286
2.084,0.351974
2.085,0.351218
2.086,0.350347
2.087,0.349426
2.088,0.348463
2.089,0.34765
2.09,0.346852
2.091,0.346201
2.092,0.345818
2.093,0.34529
2.094,0.344701
2.095,0.344245
2.096,0.343817
2.097,0.343438
2.098,0.343202
2.099,0.342907
2.1,0.342623
2.101,0.342338
2.102,0.342083
2.103,0.341738
2.104,0.341433
2.105,0.341221
2.106,0.341125
2.107,0.341189
2.108,0.341388
2.109,0.341781
2.11,0.342184
2.111,0.342732
2.112,0.34327
2.113,0.343863
2.114,0.344479
2.115,0.345188
2.116,0.345813
2.117,0.346381
2.118,0.347028
2.119,0.347658
2.12,0.348321
2.121,0.34905
2.122,0.349882
2.123,0.350538
2.124,0.35112
2.125,0.35173
2.126,0.3522
2.127,0.352907
2.128,0.353738
2.129,0.35455
2.13,0.355494
2.131,0.356354
2.132,0.35715
2.133,0.358019
2.134,0.35891
2.135,0.359835
2.136,0.360793
2.137,0.361755
2.138,0.362718
2.139,0.363756
2.14,0.364792
2.141,0.365899
2.142,0.366911
2.143,0.367899
2.144,0.368736
2.145,0.369376
2.146,0.370113
2.147,0.370874
2.148,0.371457
2.149,0.371959
2.15,0.372504
2.151,0.37294
2.152,0.373373
2.153,0.373877
2.154,0.374284
2.155,0.374513
2.156,0.37483
2.157,0.375271
2.158,0.375576
2.159,0.375834
2.16,0.376012
2.161,0.376223
2.162,0.376369
2.163,0.376621
2.164,0.376945
2.165,0.37735
2.166,0.377873
2.167,0.378233
2.168,0.378677
2.169,0.378938
2.17,0.378921
2.171,0.379114
2.172,0.379334
2.173,0.379588
2.174,0.379939
2.175,0.380256
2.176,0.380568
2.177,0.380875
2.178,0.381139
2.179,0.381513
2.18,0.381825
2.181,0.382278
2.182,0.382856
2.183,0.383416
2.184,0.384031
2.185,0.384652
2.186,0.385321
2.187,0.386061
2.188,0.386717
2.189,0.387479
2.19,0.387975
2.191,0.38835
2.192,0.388543
2.193,0.388566
2.194,0.388441
2.195,0.388135
2.196,0.387762
2.197,0.387129
2.198,0.386606
2.199,0.386007
2.2,0.385436
2.201,0.384794
2.202,0.384392
2.203,0.383992
2.204,0.383552
2.205,0.38319
2.206,0.383146
2.207,0.383334
2.208,0.383592
2.209,0.383912
2.21,0.384517
2.211,0.384865
2.212,0.385181
2.213,0.385418
2.214,0.385618
2.215,0.38567
2.216,0.38558
2.217,0.385389
2.218,0.385023
2.219,0.384736
2.22,0.384391
2.221,0.384087
2.222,0.383921
2.223,0.383534
2.224,0.383048
2.225,0.382493
2.226,0.381796
2.227,0.381026
2.228,0.380362
2.229,0.379584
2.23,0.378648
2.231,0.377368
2.232,0.375752
2.233,0.37388
2.234,0.371721
2.235,0.369472
2.236,0.366888
2.237,0.36411
2.238,0.360826
2.239,0.357162
2.24,0.353181
2.241,0.348767
2.242,0.344092
2.243,0.338912
2.244,0.333857
2.245,0.328252
2.246,0.32323
2.247,0.31838
2.248,0.313776
2.249,0.309335
2.25,0.30536
2.251,0.301589
2.252,0.298385
2.253,0.295967
2.254,0.293457
2.255,0.291232
2.256,0.289303
2.257,0.287259
2.258,0.284871
2.259,0.282124
2.26,0.278728
2.261,0.275023
2.262,0.271115
2.263,0.267203
2.264,0.263386
2.265,0.259655
2.266,0.256308
2.267,0.253673
2.268,0.251948
2.269,0.251054
2.27,0.251128
2.271,0.251826
2.272,0.253603
2.273,0.255419
2.274,0.258004
2.275,0.26053
2.276,0.263516
2.277,0.266158
2.278,0.268853
2.279,0.271421
2.28,0.273935
2.281,0.276244
2.282,0.278553
2.283,0.280554
2.284,0.282183
2.285,0.283645
2.286,0.28506
2.287,0.286077
2.288,0.286613
2.289,0.287201
2.29,0.287679
2.291,0.288052
2.292,0.288701
2.293,0.289231
2.294,0.289601
2.295,0.289836
2.296,0.289938
2.297,0.290138
2.298,0.29012
2.299,0.28991
2.3,0.289664
2.301,0.28916
2.302,0.288673
2.303,0.288284
2.304,0.287671
2.305,0.286658
2.306,0.285571
2.307,0.284386
2.308,0.282947
2.309,0.281851
2.31,0.28077
2.311,0.279552
2.312,0.278557
2.313,0.277747
2.314,0.277026
2.315,0.276387
2.316,0.275868
2.317,0.275618
2.318,0.275238
2.319,0.27479
2.32,0.274571
2.321,0.274473
2.322,0.274341
2.323,0.27447
2.324,0.274407
2.325,0.273989
2.326,0.274033
2.327,0.274471
2.328,0.27450600000000003
2.329,0.274444
2.33,0.27449
2.331,0.274479
2.332,0.274367
2.333,0.274425
2.334,0.27455
2.335,0.274607
2.336,0.274127
2.337,0.274688
2.338,0.274869
2.339,0.274391
2.34,0.274108
2.341,0.273215
2.342,0.27218
2.343,0.27166
2.344,0.271487
2.345,0.271382
2.346,0.271121
2.347,0.270942
2.348,0.270088
2.349,0.268697
2.35,0.267765
2.351,0.267134
2.352,0.266996
2.353,0.267258
2.354,0.267446
2.355,0.267479
2.356,0.267567
2.357,0.267514
2.358,0.267396
2.359,0.26769
2.36,0.267918
2.361,0.267893
2.362,0.26842
2.363,0.268953
2.364,0.26863
2.365,0.269093
2.366,0.269527
2.367,0.269476
2.368,0.270175
2.369,0.270567
2.37,0.271109
2.371,0.271416
2.372,0.271318
2.373,0.271375
2.374,0.271243
2.375,0.271573
2.376,0.272457
2.377,0.273503
2.378,0.274489
2.379,0.275525
2.38,0.27615
2.381,0.275817
2.382,0.274793
2.383,0.273698
2.384,0.273272
2.385,0.273022
2.386,0.273042
2.387,0.27357
2.388,0.27345
2.389,0.273152
2.39,0.273215
2.391,0.272534
2.392,0.27167
2.393,0.271944
2.394,0.272277
2.395,0.27244
2.396,0.272425
2.397,0.271574
2.398,0.27133
2.399,0.271091
2.4,0.271193
2.401,0.272145
2.402,0.271821
2.403,0.271633
2.404,0.271915
2.405,0.271252
2.406,0.270722
2.407,0.270854
2.408,0.270692
2.409,0.270379
2.41,0.270654
2.411,0.27085
2.412,0.269827
2.413,0.269256
2.414,0.270198
2.415,0.269855
2.416,0.269715
2.417,0.269969
2.418,0.268369
2.419,0.267062
2.42,0.266157
2.421,0.26457
2.422,0.263072
2.423,0.262673
2.424,0.261841
2.425,0.260297
2.426,0.259094
2.427,0.257131
2.428,0.25635
2.429,0.256836
2.43,0.256332
2.431,0.255054
2.432,0.253682
2.433,0.252749
2.434,0.252225
2.435,0.251634
2.436,0.250649
2.437,0.249347
2.438,0.247235
2.439,0.245107
2.44,0.243795
2.441,0.241899
2.442,0.240795
2.443,0.241939
2.444,0.241743
2.445,0.238512
2.446,0.234494
2.447,0.230372
2.448,0.22734
2.449,0.228364
2.45,0.231176
2.451,0.230622
2.452,0.227859
2.453,0.226079
2.454,0.223199
2.455,0.222158
2.456,0.224714
2.457,0.223671
2.458,0.221515
2.459,0.22076
2.46,0.219315
2.461,0.217642
2.462,0.216848
2.463,0.216626
2.464,0.214497
2.465,0.214152
2.466,0.21255
2.467,0.208234
2.468,0.206035
2.469,0.20166
2.47,0.199167
2.471,0.199658
2.472,0.197327
2.473,0.197242
2.474,0.195769
2.475,0.19388
2.476,0.195127
2.477,0.193032
2.478,0.190073
2.479,0.188322
2.48,0.184338
2.481,0.184621
2.482,0.189563
2.483,0.190315
2.484,0.190914
2.485,0.189731
2.486,0.184572
2.487,0.183284
2.488,0.184596
2.489,0.182767
2.49,0.179597
2.491,0.179251
2.492,0.180228
2.493,0.18616
2.494,0.19323
2.495,0.194225
2.496,0.190328
2.497,0.190401
2.498,0.194624
2.499,0.197129
2.5,0.196872
