Wavelength (nm),Egyptian Blue
0.644,0.091536
0.645,0.091511
0.646,0.091524
0.647,0.091662
0.648,0.091733
0.649,0.091747
0.65,0.091978
0.651,0.092118
0.652,0.092206
0.653,0.09233
0.654,0.092441
0.655,0.092586
0.656,0.09274
0.657,0.092851
0.658,0.09299
0.659,0.093194
0.66,0.093463
0.661,0.093755
0.662,0.09393
0.663,0.094102
0.664,0.094395
0.665,0.094668
0.666,0.094973
0.667,0.095281
0.668,0.095522
0.669,0.09586
0.67,0.096246
0.671,0.096644
0.672,0.097081
0.673,0.097509
0.674,0.097974
0.675,0.098516
0.676,0.099006
0.677,0.099487
0.678,0.100003
0.679,0.100589
0.68,0.101217
0.681,0.10191
0.682,0.102655
0.683,0.103343
0.684,0.104077
0.685,0.104849
0.686,0.105618
0.687,0.106387
0.688,0.107147
0.689,0.107981
0.69,0.109028
0.691,0.109996
0.692,0.110883
0.693,0.111758
0.694,0.112709
0.695,0.113644
0.696,0.11458
0.697,0.115559
0.698,0.116541
0.699,0.117485
0.7,0.118406
0.701,0.119359
0.702,0.120191
0.703,0.121042
0.704,0.121993
0.705,0.122845
0.706,0.123619
0.707,0.124392
0.708,0.125218
0.709,0.12584
0.71,0.12651
0.711,0.127253
0.712,0.127848
0.713,0.128413
0.714,0.128984
0.715,0.129553
0.716,0.130034
0.717,0.130455
0.718,0.130831
0.719,0.13118
0.72,0.131584
0.721,0.131937
0.722,0.132199
0.723,0.132413
0.724,0.132549
0.725,0.132685
0.726,0.132846
0.727,0.132866
0.728,0.132878
0.729,0.132912
0.73,0.132949
0.731,0.132955
0.732,0.132917
0.733,0.132831
0.734,0.132708
0.735,0.132721
0.736,0.132712
0.737,0.132575
0.738,0.13243
0.739,0.132291
0.74,0.132147
0.741,0.131974
0.742,0.131773
0.743,0.131612
0.744,0.13145
0.745,0.13117
0.746,0.130999
0.747,0.130853
0.748,0.130642
0.749,0.130349
0.75,0.130115
0.751,0.129918
0.752,0.1297
0.753,0.129501
0.754,0.129221
0.755,0.128926
0.756,0.12877
0.757,0.128597
0.758,0.128416
0.759,0.128241
0.76,0.128068
0.761,0.127886
0.762,0.127678
0.763,0.127452
0.764,0.127315
0.765,0.1271
0.766,0.126855
0.767,0.126715
0.768,0.126586
0.769,0.126427
0.77,0.126217
0.771,0.125958
0.772,0.125813
0.773,0.125711
0.774,0.125568
0.775,0.125371
0.776,0.125229
0.777,0.125144
0.778,0.12507
0.779,0.124969
0.78,0.124912
0.781,0.124882
0.782,0.124796
0.783,0.12467
0.784,0.124653
0.785,0.124761
0.786,0.124792
0.787,0.124772
0.788,0.12478
0.789,0.124868
0.79,0.12496
0.791,0.125013
0.792,0.125039
0.793,0.125078
0.794,0.125155
0.795,0.12528
0.796,0.125445
0.797,0.125626
0.798,0.125815
0.799,0.126043
0.8,0.126287
0.801,0.126431
0.802,0.126652
0.803,0.126945
0.804,0.127262
0.805,0.12759
0.806,0.1279
0.807,0.128215
0.808,0.128586
0.809,0.129054
0.81,0.129424
0.811,0.129756
0.812,0.130324
0.813,0.130859
0.814,0.131393
0.815,0.13196
0.816,0.132505
0.817,0.133103
0.818,0.13375
0.819,0.134423
0.82,0.135108
0.821,0.135848
0.822,0.136587
0.823,0.137269
0.824,0.138041
0.825,0.138881
0.826,0.139787
0.827,0.140765
0.828,0.141724
0.829,0.142693
0.83,0.143693
0.831,0.144711
0.832,0.145759
0.833,0.146795
0.834,0.147834
0.835,0.149042
0.836,0.150243
0.837,0.151457
0.838,0.152742
0.839,0.154025
0.84,0.155364
0.841,0.156737
0.842,0.158092
0.843,0.1595
0.844,0.160857
0.845,0.162214
0.846,0.16374
0.847,0.165249
0.848,0.1668
0.849,0.168414
0.85,0.170024
0.851,0.171664
0.852,0.173278
0.853,0.174852
0.854,0.176479
0.855,0.178147
0.856,0.179831
0.857,0.181522
0.858,0.183318
0.859,0.184953
0.86,0.186557
0.861,0.18834
0.862,0.189958
0.863,0.191683
0.864,0.193502
0.865,0.195227
0.866,0.197061
0.867,0.198866
0.868,0.200583
0.869,0.202275
0.87,0.203996
0.871,0.205637
0.872,0.207217
0.873,0.208946
0.874,0.210757
0.875,0.212405
0.876,0.213849
0.877,0.215491
0.878,0.217118
0.879,0.21868
0.88,0.220182
0.881,0.22166
0.882,0.22315
0.883,0.22457
0.884,0.225851
0.885,0.227143
0.886,0.228438
0.887,0.229684
0.888,0.230847
0.889,0.232047
0.89,0.233312
0.891,0.234608
0.892,0.235853
0.893,0.236945
0.894,0.238008
0.895,0.239006
0.896,0.239816
0.897,0.240827
0.898,0.241709
0.899,0.242452
0.9,0.243407
0.901,0.24421
0.902,0.244969
0.903,0.245704
0.904,0.246261
0.905,0.247009
0.906,0.247645
0.907,0.248134
0.908,0.248983
0.909,0.249523
0.91,0.249854
0.911,0.25023
0.912,0.250843
0.913,0.251281
0.914,0.251601
0.915,0.251923
0.916,0.252218
0.917,0.252673
0.918,0.253081
0.919,0.253287
0.92,0.253513
0.921,0.253781
0.922,0.253959
0.923,0.253993
0.924,0.254158
0.925,0.254292
0.926,0.254321
0.927,0.254267
0.928,0.254354
0.929,0.254457
0.93,0.254531
0.931,0.254575
0.932,0.254668
0.933,0.254643
0.934,0.254503
0.935,0.254354
0.936,0.25441
0.937,0.254357
0.938,0.254187
0.939,0.254018
0.94,0.253966
0.941,0.253827
0.942,0.253705
0.943,0.253694
0.944,0.253459
0.945,0.253368
0.946,0.253316
0.947,0.253118
0.948,0.25292
0.949,0.252867
0.95,0.252875
0.951,0.252787
0.952,0.252499
0.953,0.252248
0.954,0.25211
0.955,0.252012
0.956,0.251637
0.957,0.251527
0.958,0.251452
0.959,0.251143
0.96,0.250874
0.961,0.250627
0.962,0.250486
0.963,0.250429
0.964,0.250175
0.965,0.249863
0.966,0.249571
0.967,0.249335
0.968,0.24912
0.969,0.24903
0.97,0.248831
0.971,0.248545
0.972,0.248654
0.973,0.248199
0.974,0.247866
0.975,0.24788
0.976,0.247498
0.977,0.247451
0.978,0.247493
0.979,0.247359
0.98,0.247013
0.981,0.246902
0.982,0.246732
0.983,0.24653
0.984,0.246593
0.985,0.246489
0.986,0.246442
0.987,0.246448
0.988,0.246362
0.989,0.246363
0.99,0.246163
0.991,0.245948
0.992,0.246042
0.993,0.246288
0.994,0.246129
0.995,0.245835
0.996,0.245794
0.997,0.245681
0.998,0.245914
0.999,0.245969
1.0,0.245656
1.001,0.243397
1.002,0.243378
1.003,0.243357
1.004,0.24334
1.005,0.243221
1.006,0.243186
1.007,0.243174
1.008,0.243264
1.009,0.243376
1.01,0.243486
1.011,0.243527
1.012,0.243607
1.013,0.243687
1.014,0.243643
1.015,0.243691
1.016,0.243848
1.017,0.243949
1.018,0.244027
1.019,0.244155
1.02,0.244359
1.021,0.2444
1.022,0.244459
1.023,0.244634
1.024,0.244762
1.025,0.244907
1.026,0.245065
1.027,0.245179
1.028,0.245325
1.029,0.245516
1.03,0.245709
1.031,0.245909
1.032,0.246113
1.033,0.246323
1.034,0.246502
1.035,0.246651
1.036,0.246854
1.037,0.247082
1.038,0.247331
1.039,0.247573
1.04,0.24777
1.041,0.247998
1.042,0.248228
1.043,0.248466
1.044,0.248757
1.045,0.248999
1.046,0.249191
1.047,0.249407
1.048,0.249628
1.049,0.24986
1.05,0.250098
1.051,0.250333
1.052,0.250586
1.053,0.250827
1.054,0.251085
1.055,0.251345
1.056,0.25157
1.057,0.251852
1.058,0.252158
1.059,0.252471
1.06,0.252815
1.061,0.25313
1.062,0.253446
1.063,0.253778
1.064,0.254122
1.065,0.254455
1.066,0.254783
1.067,0.255122
1.068,0.255441
1.069,0.255766
1.07,0.256085
1.071,0.256393
1.072,0.256749
1.073,0.257083
1.074,0.257414
1.075,0.257792
1.076,0.258188
1.077,0.258585
1.078,0.258957
1.079,0.259348
1.08,0.259728
1.081,0.260063
1.082,0.260397
1.083,0.260806
1.084,0.261243
1.085,0.261641
1.086,0.262004
1.087,0.262353
1.088,0.262709
1.089,0.263093
1.09,0.26351
1.091,0.263959
1.092,0.264372
1.093,0.264765
1.094,0.265126
1.095,0.265509
1.096,0.265878
1.097,0.266263
1.098,0.266675
1.099,0.26706
1.1,0.267452
1.101,0.267844
1.102,0.268193
1.103,0.268566
1.104,0.268983
1.105,0.269385
1.106,0.269786
1.107,0.27023
1.108,0.270683
1.109,0.271116
1.11,0.271563
1.111,0.272064
1.112,0.272516
1.113,0.272949
1.114,0.273345
1.115,0.273769
1.116,0.274164
1.117,0.274519
1.118,0.27494
1.119,0.275388
1.12,0.275813
1.121,0.276239
1.122,0.276706
1.123,0.27717
1.124,0.277606
1.125,0.278049
1.126,0.278524
1.127,0.278949
1.128,0.279319
1.129,0.279729
1.13,0.280136
1.131,0.280571
1.132,0.280998
1.133,0.281449
1.134,0.2819
1.135,0.28228
1.136,0.282635
1.137,0.283037
1.138,0.283435
1.139,0.283829
1.14,0.284253
1.141,0.284665
1.142,0.285063
1.143,0.285446
1.144,0.285817
1.145,0.286172
1.146,0.286528
1.147,0.286866
1.148,0.287221
1.149,0.287587
1.15,0.287932
1.151,0.288243
1.152,0.288556
1.153,0.28887
1.154,0.289191
1.155,0.289527
1.156,0.289858
1.157,0.290185
1.158,0.290491
1.159,0.290832
1.16,0.291184
1.161,0.291541
1.162,0.291925
1.163,0.292291
1.164,0.292661
1.165,0.293023
1.166,0.293382
1.167,0.293727
1.168,0.294037
1.169,0.294348
1.17,0.294686
1.171,0.295009
1.172,0.295346
1.173,0.295685
1.174,0.296008
1.175,0.296288
1.176,0.296628
1.177,0.296988
1.178,0.297361
1.179,0.297783
1.18,0.298162
1.181,0.298536
1.182,0.298896
1.183,0.299219
1.184,0.29957
1.185,0.299924
1.186,0.300291
1.187,0.300652
1.188,0.30101
1.189,0.301382
1.19,0.30172
1.191,0.302087
1.192,0.302476
1.193,0.302851
1.194,0.303215
1.195,0.303609
1.196,0.304018
1.197,0.304426
1.198,0.304847
1.199,0.30528
1.2,0.305717
1.201,0.306155
1.202,0.3066
1.203,0.307058
1.204,0.307523
1.205,0.307988
1.206,0.308464
1.207,0.308965
1.208,0.309442
1.209,0.309923
1.21,0.310411
1.211,0.310886
1.212,0.311405
1.213,0.311954
1.214,0.312494
1.215,0.313063
1.216,0.313621
1.217,0.314157
1.218,0.314722
1.219,0.31531
1.22,0.315895
1.221,0.316495
1.222,0.317097
1.223,0.317718
1.224,0.318301
1.225,0.318899
1.226,0.31949
1.227,0.32007
1.228,0.320671
1.229,0.32129
1.23,0.321936
1.231,0.322567
1.232,0.323215
1.233,0.323847
1.234,0.324457
1.235,0.32509
1.236,0.325738
1.237,0.326372
1.238,0.327022
1.239,0.327646
1.24,0.328248
1.241,0.32885
1.242,0.329426
1.243,0.330025
1.244,0.330621
1.245,0.331242
1.246,0.331882
1.247,0.332514
1.248,0.333134
1.249,0.333749
1.25,0.334378
1.251,0.335004
1.252,0.335638
1.253,0.336295
1.254,0.33693
1.255,0.337547
1.256,0.338184
1.257,0.338839
1.258,0.339472
1.259,0.340124
1.26,0.340736
1.261,0.341297
1.262,0.341886
1.263,0.342461
1.264,0.343046
1.265,0.343634
1.266,0.344255
1.267,0.344853
1.268,0.345433
1.269,0.346043
1.27,0.346662
1.271,0.347276
1.272,0.347911
1.273,0.348532
1.274,0.349142
1.275,0.349748
1.276,0.350347
1.277,0.350949
1.278,0.351535
1.279,0.352138
1.28,0.352745
1.281,0.353363
1.282,0.353983
1.283,0.354621
1.284,0.355301
1.285,0.355943
1.286,0.356564
1.287,0.3572
1.288,0.357828
1.289,0.358443
1.29,0.359058
1.291,0.359722
1.292,0.360365
1.293,0.361008
1.294,0.361633
1.295,0.362264
1.296,0.362869
1.297,0.363446
1.298,0.364026
1.299,0.364596
1.3,0.365172
1.301,0.365747
1.302,0.366308
1.303,0.36686
1.304,0.367419
1.305,0.367983
1.306,0.368517
1.307,0.369034
1.308,0.36956
1.309,0.370057
1.31,0.370567
1.311,0.371084
1.312,0.371623
1.313,0.372153
1.314,0.372668
1.315,0.373193
1.316,0.373733
1.317,0.374241
1.318,0.374741
1.319,0.375228
1.32,0.375689
1.321,0.376161
1.322,0.37664
1.323,0.377094
1.324,0.377542
1.325,0.377973
1.326,0.378378
1.327,0.378782
1.328,0.379172
1.329,0.379569
1.33,0.37998
1.331,0.380357
1.332,0.380732
1.333,0.381082
1.334,0.381399
1.335,0.381703
1.336,0.381998
1.337,0.382268
1.338,0.382532
1.339,0.382784
1.34,0.383011
1.341,0.383221
1.342,0.383419
1.343,0.383583
1.344,0.383767
1.345,0.383966
1.346,0.384128
1.347,0.384275
1.348,0.38442
1.349,0.384531
1.35,0.384667
1.351,0.384823
1.352,0.384962
1.353,0.385094
1.354,0.385233
1.355,0.385366
1.356,0.385505
1.357,0.38567
1.358,0.385802
1.359,0.385907
1.36,0.386023
1.361,0.386091
1.362,0.386211
1.363,0.386361
1.364,0.386532
1.365,0.386704
1.366,0.386902
1.367,0.387098
1.368,0.387285
1.369,0.387508
1.37,0.387757
1.371,0.388007
1.372,0.388276
1.373,0.388541
1.374,0.388821
1.375,0.389084
1.376,0.389363
1.377,0.389602
1.378,0.389828
1.379,0.390029
1.38,0.390214
1.381,0.390359
1.382,0.3905
1.383,0.390566
1.384,0.390592
1.385,0.39055
1.386,0.390446
1.387,0.390284
1.388,0.390078
1.389,0.389789
1.39,0.389439
1.391,0.389012
1.392,0.388497
1.393,0.387926
1.394,0.387291
1.395,0.386601
1.396,0.385817
1.397,0.384972
1.398,0.384031
1.399,0.383007
1.4,0.381888
1.401,0.38068
1.402,0.379395
1.403,0.378019
1.404,0.376562
1.405,0.375023
1.406,0.373418
1.407,0.371723
1.408,0.369971
1.409,0.368153
1.41,0.36628
1.411,0.364327
1.412,0.362342
1.413,0.360284
1.414,0.358226
1.415,0.356111
1.416,0.354015
1.417,0.351885
1.418,0.349801
1.419,0.347725
1.42,0.345678
1.421,0.343636
1.422,0.34166
1.423,0.339701
1.424,0.337813
1.425,0.335986
1.426,0.334214
1.427,0.332537
1.428,0.330925
1.429,0.329381
1.43,0.327917
1.431,0.326526
1.432,0.325196
1.433,0.323941
1.434,0.322773
1.435,0.321666
1.436,0.320609
1.437,0.319645
1.438,0.318769
1.439,0.317958
1.44,0.317231
1.441,0.316554
1.442,0.315948
1.443,0.315393
1.444,0.314903
1.445,0.31445
1.446,0.314057
1.447,0.313698
1.448,0.313394
1.449,0.313101
1.45,0.312844
1.451,0.312609
1.452,0.312382
1.453,0.312203
1.454,0.312071
1.455,0.311962
1.456,0.311881
1.457,0.31184
1.458,0.31185
1.459,0.311863
1.46,0.311912
1.461,0.311969
1.462,0.312019
1.463,0.312104
1.464,0.312215
1.465,0.312356
1.466,0.312503
1.467,0.312669
1.468,0.312862
1.469,0.313063
1.47,0.31331
1.471,0.313593
1.472,0.313904
1.473,0.314246
1.474,0.314615
1.475,0.315019
1.476,0.315438
1.477,0.315877
1.478,0.316352
1.479,0.316849
1.48,0.317388
1.481,0.317975
1.482,0.318574
1.483,0.319212
1.484,0.319851
1.485,0.3205
1.486,0.321169
1.487,0.321862
1.488,0.322552
1.489,0.323258
1.49,0.323962
1.491,0.324652
1.492,0.325368
1.493,0.326106
1.494,0.326839
1.495,0.327575
1.496,0.328329
1.497,0.329083
1.498,0.329858
1.499,0.330667
1.5,0.33147
1.501,0.332287
1.502,0.333095
1.503,0.333907
1.504,0.334706
1.505,0.335472
1.506,0.336268
1.507,0.337075
1.508,0.337878
1.509,0.338712
1.51,0.339524
1.511,0.340326
1.512,0.341113
1.513,0.34187
1.514,0.342606
1.515,0.343335
1.516,0.344038
1.517,0.344726
1.518,0.345414
1.519,0.34606
1.52,0.346671
1.521,0.347265
1.522,0.347836
1.523,0.348378
1.524,0.348884
1.525,0.349387
1.526,0.34987
1.527,0.350333
1.528,0.350776
1.529,0.35122
1.53,0.351659
1.531,0.352058
1.532,0.352437
1.533,0.352811
1.534,0.353144
1.535,0.353488
1.536,0.353843
1.537,0.354185
1.538,0.354489
1.539,0.354842
1.54,0.355224
1.541,0.355595
1.542,0.355995
1.543,0.356369
1.544,0.356722
1.545,0.357087
1.546,0.357454
1.547,0.357815
1.548,0.358162
1.549,0.358538
1.55,0.358938
1.551,0.359315
1.552,0.359696
1.553,0.360084
1.554,0.360458
1.555,0.360836
1.556,0.36123
1.557,0.361623
1.558,0.361997
1.559,0.362391
1.56,0.362809
1.561,0.363224
1.562,0.363655
1.563,0.364065
1.564,0.364454
1.565,0.364863
1.566,0.36525
1.567,0.365678
1.568,0.366162
1.569,0.366614
1.57,0.36706
1.571,0.36752
1.572,0.367944
1.573,0.368422
1.574,0.368944
1.575,0.369475
1.576,0.370064
1.577,0.370619
1.578,0.371168
1.579,0.371714
1.58,0.372231
1.581,0.372765
1.582,0.373275
1.583,0.373849
1.584,0.374456
1.585,0.375092
1.586,0.375774
1.587,0.376445
1.588,0.37711
1.589,0.377806
1.59,0.378539
1.591,0.379347
1.592,0.380189
1.593,0.381044
1.594,0.381916
1.595,0.382786
1.596,0.383707
1.597,0.384664
1.598,0.385637
1.599,0.386644
1.6,0.387639
1.601,0.388609
1.602,0.389592
1.603,0.390584
1.604,0.391581
1.605,0.392594
1.606,0.393601
1.607,0.394604
1.608,0.39559
1.609,0.396566
1.61,0.397585
1.611,0.398616
1.612,0.399676
1.613,0.400766
1.614,0.401808
1.615,0.402855
1.616,0.403897
1.617,0.404901
1.618,0.405904
1.619,0.406901
1.62,0.407918
1.621,0.408931
1.622,0.409944
1.623,0.410967
1.624,0.411931
1.625,0.412901
1.626,0.413914
1.627,0.414917
1.628,0.415933
1.629,0.416938
1.63,0.417862
1.631,0.418762
1.632,0.41966
1.633,0.420541
1.634,0.421479
1.635,0.422432
1.636,0.42334
1.637,0.424242
1.638,0.425115
1.639,0.425953
1.64,0.426803
1.641,0.427654
1.642,0.428505
1.643,0.429385
1.644,0.430311
1.645,0.43123
1.646,0.432129
1.647,0.433026
1.648,0.433896
1.649,0.434789
1.65,0.435709
1.651,0.436592
1.652,0.437436
1.653,0.438239
1.654,0.439019
1.655,0.439775
1.656,0.440507
1.657,0.441238
1.658,0.441928
1.659,0.442586
1.66,0.443245
1.661,0.443853
1.662,0.44441
1.663,0.444933
1.664,0.445346
1.665,0.445698
1.666,0.446031
1.667,0.446266
1.668,0.446498
1.669,0.446695
1.67,0.446762
1.671,0.446838
1.672,0.446886
1.673,0.446872
1.674,0.446888
1.675,0.446878
1.676,0.446798
1.677,0.44668
1.678,0.446503
1.679,0.446243
1.68,0.445962
1.681,0.445714
1.682,0.445471
1.683,0.445177
1.684,0.444803
1.685,0.444393
1.686,0.443989
1.687,0.443632
1.688,0.443365
1.689,0.443129
1.69,0.442853
1.691,0.442581
1.692,0.442366
1.693,0.442138
1.694,0.441903
1.695,0.441698
1.696,0.441432
1.697,0.44113
1.698,0.440859
1.699,0.44058
1.7,0.440344
1.701,0.44014
1.702,0.439915
1.703,0.439704
1.704,0.439466
1.705,0.439268
1.706,0.439138
1.707,0.43896
1.708,0.438778
1.709,0.438574
1.71,0.438352
1.711,0.438099
1.712,0.4378
1.713,0.437536
1.714,0.437251
1.715,0.437
1.716,0.436819
1.717,0.436583
1.718,0.436333
1.719,0.436052
1.72,0.435735
1.721,0.435411
1.722,0.435057
1.723,0.434738
1.724,0.434406
1.725,0.434088
1.726,0.433783
1.727,0.433526
1.728,0.433297
1.729,0.433136
1.73,0.432932
1.731,0.43274
1.732,0.432613
1.733,0.432464
1.734,0.4323
1.735,0.43214
1.736,0.431977
1.737,0.431901
1.738,0.431874
1.739,0.431829
1.74,0.431788
1.741,0.431715
1.742,0.4317
1.743,0.431786
1.744,0.431854
1.745,0.431896
1.746,0.431901
1.747,0.431888
1.748,0.431877
1.749,0.431902
1.75,0.431933
1.751,0.431913
1.752,0.431941
1.753,0.431954
1.754,0.431916
1.755,0.431879
1.756,0.431811
1.757,0.431736
1.758,0.431744
1.759,0.431738
1.76,0.431666
1.761,0.43166
1.762,0.431653
1.763,0.431663
1.764,0.431808
1.765,0.431993
1.766,0.432161
1.767,0.432377
1.768,0.432578
1.769,0.432679
1.77,0.4328
1.771,0.432904
1.772,0.433005
1.773,0.433122
1.774,0.433196
1.775,0.433253
1.776,0.433357
1.777,0.433447
1.778,0.433611
1.779,0.433853
1.78,0.434076
1.781,0.434386
1.782,0.434695
1.783,0.434943
1.784,0.435241
1.785,0.4355
1.786,0.435735
1.787,0.436007
1.788,0.436287
1.789,0.436622
1.79,0.437006
1.791,0.437395
1.792,0.437742
1.793,0.438081
1.794,0.438474
1.795,0.43892
1.796,0.439443
1.797,0.440002
1.798,0.44052
1.799,0.440964
1.8,0.441417
1.801,0.428413
1.802,0.429365
1.803,0.430384
1.804,0.431267
1.805,0.432112
1.806,0.432929
1.807,0.433654
1.808,0.434342
1.809,0.435127
1.81,0.435959
1.811,0.436655
1.812,0.437307
1.813,0.437946
1.814,0.438443
1.815,0.439043
1.816,0.4397
1.817,0.440326
1.818,0.440953
1.819,0.441584
1.82,0.442341
1.821,0.443137
1.822,0.443844
1.823,0.444532
1.824,0.445283
1.825,0.44604
1.826,0.446689
1.827,0.447478
1.828,0.448296
1.829,0.44898
1.83,0.449652
1.831,0.450369
1.832,0.451084
1.833,0.451855
1.834,0.452663
1.835,0.453493
1.836,0.4544
1.837,0.455222
1.838,0.456053
1.839,0.456822
1.84,0.45751
1.841,0.458278
1.842,0.458867
1.843,0.459276
1.844,0.4598
1.845,0.460301
1.846,0.460674
1.847,0.461373
1.848,0.462109
1.849,0.462731
1.85,0.463367
1.851,0.463733
1.852,0.464181
1.853,0.464521
1.854,0.464767
1.855,0.464939
1.856,0.465084
1.857,0.465092
1.858,0.464961
1.859,0.464962
1.86,0.464973
1.861,0.464737
1.862,0.464468
1.863,0.464153
1.864,0.46372
1.865,0.463116
1.866,0.462582
1.867,0.461939
1.868,0.46112
1.869,0.460313
1.87,0.459355
1.871,0.45821
1.872,0.457037
1.873,0.455691
1.874,0.453978
1.875,0.452102
1.876,0.45004
1.877,0.447803
1.878,0.445432
1.879,0.443035
1.88,0.440455
1.881,0.437627
1.882,0.434472
1.883,0.431161
1.884,0.42775
1.885,0.42401
1.886,0.420042
1.887,0.415902
1.888,0.411424
1.889,0.406519
1.89,0.40158
1.891,0.396346
1.892,0.390733
1.893,0.385017
1.894,0.379127
1.895,0.373053
1.896,0.366905
1.897,0.360737
1.898,0.354497
1.899,0.34818
1.9,0.341846
