Wavelength (nm),Lead White
0.473,0.989666
0.474,0.990173
0.475,0.990738
0.476,0.991091
0.477,0.991637
0.478,0.992624
0.479,0.992377
0.48,0.992514
0.481,0.993229
0.482,0.993524
0.483,0.99393
0.484,0.994282
0.485,0.99451
0.486,0.99489
0.487,0.99526
0.488,0.995701
0.489,0.996239
0.49,0.99639
0.491,0.99648
0.492,0.99675
0.493,0.997281
0.494,0.997311
0.495,0.997243
0.496,0.997465
0.497,0.998123
0.498,0.997869
0.499,0.997525
0.5,0.998052
0.501,0.998526
0.502,0.99844
0.503,0.998156
0.504,0.99847
0.505,0.998444
0.506,0.998582
0.507,0.998981
0.508,0.998824
0.509,0.998997
0.51,0.999193
0.511,0.999023
0.512,0.999032
0.513,0.999037
0.514,0.999034
0.515,0.999118
0.516,0.99912
0.517,0.999119
0.518,0.999142
0.519,0.999072
0.52,0.999163
0.521,0.999314
0.522,0.999341
0.523,0.999133
0.524,0.999062
0.525,0.9991
0.526,0.998958
0.527,0.998754
0.528,0.99865
0.529,0.998651
0.53,0.998505
0.531,0.998115
0.532,0.997644
0.533,0.997304
0.534,0.997132
0.535,0.996933
0.536,0.996562
0.537,0.995954
0.538,0.995371
0.539,0.994775
0.54,0.994169
0.541,0.99375
0.542,0.993069
0.543,0.992256
0.544,0.991571
0.545,0.990861
0.546,0.990024
0.547,0.989136
0.548,0.988403
0.549,0.987585
0.55,0.98663
0.551,0.985645
0.552,0.985021
0.553,0.984575
0.554,0.98426
0.555,0.983985
0.556,0.983284
0.557,0.982326
0.558,0.981204
0.559,0.979904
0.56,0.978678
0.561,0.977551
0.562,0.976516
0.563,0.975643
0.564,0.974842
0.565,0.973856
0.566,0.972393
0.567,0.970612
0.568,0.968732
0.569,0.967002
0.57,0.965714
0.571,0.964818
0.572,0.964337
0.573,0.964488
0.574,0.965841
0.575,0.970125
0.576,0.975915
0.577,0.980106
0.578,0.980601
0.579,0.978968
0.58,0.976612
0.581,0.974439
0.582,0.97251
0.583,0.970807
0.584,0.969232
0.585,0.967681
0.586,0.966045
0.587,0.964262
0.588,0.962325
0.589,0.960281
0.59,0.958355
0.591,0.957093
0.592,0.95764
0.593,0.95919
0.594,0.960997
0.595,0.96249
0.596,0.963786
0.597,0.964659
0.598,0.96508
0.599,0.96521
0.6,0.965266
0.601,0.965217
0.602,0.965097
0.603,0.965279
0.604,0.965337
0.605,0.965358
0.606,0.96561
0.607,0.965818
0.608,0.966035
0.609,0.966283
0.61,0.966516
0.611,0.966703
0.612,0.966969
0.613,0.967397
0.614,0.967833
0.615,0.968216
0.616,0.968549
0.617,0.96888
0.618,0.969235
0.619,0.969795
0.62,0.97054
0.621,0.97111
0.622,0.971744
0.623,0.972439
0.624,0.973155
0.625,0.974006
0.626,0.97481
0.627,0.975557
0.628,0.976364
0.629,0.977018
0.63,0.977689
0.631,0.978473
0.632,0.9792
0.633,0.98003
0.634,0.980994
0.635,0.982024
0.636,0.982875
0.637,0.983585
0.638,0.984261
0.639,0.985051
0.64,0.985943
0.641,0.986812
0.642,0.987614
0.643,0.988615
0.644,0.989272
0.645,0.989723
0.646,0.990368
0.647,0.991097
0.648,0.991833
0.649,0.992512
0.65,0.993095
0.651,0.993667
0.652,0.994349
0.653,0.995156
0.654,0.995794
0.655,0.996319
0.656,0.996754
0.657,0.99712
0.658,0.997549
0.659,0.998018
0.66,0.998501
0.661,0.998991
0.662,0.999298
0.663,0.999536
0.664,0.999825
0.665,0.999957
0.666,1.000066
0.667,1.000196
0.668,1.000315
0.669,1.000319
0.67,1.000229
0.671,1.000116
0.672,1.000096
0.673,1.000101
0.674,1.000146
0.675,1.000218
0.676,1.000088
0.677,0.999974
0.678,0.999968
0.679,1.000042
0.68,1.000151
0.681,1.000248
0.682,1.000311
0.683,1.000361
0.684,1.000546
0.685,1.000823
0.686,1.001084
0.687,1.001292
0.688,1.001601
0.689,1.002011
0.69,1.002384
0.691,1.002755
0.692,1.003068
0.693,1.003319
0.694,1.003652
0.695,1.00396
0.696,1.004389
0.697,1.005071
0.698,1.005561
0.699,1.005916
0.7,1.006267
0.701,1.006776
0.702,1.007338
0.703,1.007933
0.704,1.00857
0.705,1.009305
0.706,1.009913
0.707,1.010453
0.708,1.011074
0.709,1.011698
0.71,1.012311
0.711,1.012923
0.712,1.013563
0.713,1.014214
0.714,1.01487
0.715,1.01551
0.716,1.016043
0.717,1.016695
0.718,1.01743
0.719,1.018113
0.72,1.018767
0.721,1.019346
0.722,1.019855
0.723,1.020353
0.724,1.020833
0.725,1.021442
0.726,1.022176
0.727,1.022612
0.728,1.023107
0.729,1.023745
0.73,1.024467
0.731,1.025073
0.732,1.025634
0.733,1.026179
0.734,1.026692
0.735,1.027318
0.736,1.028054
0.737,1.028868
0.738,1.029742
0.739,1.030724
0.74,1.031644
0.741,1.032343
0.742,1.033119
0.743,1.033786
0.744,1.034351
0.745,1.03498
0.746,1.035495
0.747,1.03595
0.748,1.036424
0.749,1.036989
0.75,1.037578
0.751,1.038133
0.752,1.038644
0.753,1.039303
0.754,1.039874
0.755,1.040361
0.756,1.040932
0.757,1.041579
0.758,1.042212
0.759,1.042769
0.76,1.043239
0.761,1.043733
0.762,1.044233
0.763,1.044695
0.764,1.045105
0.765,1.045547
0.766,1.046046
0.767,1.046596
0.768,1.0472
0.769,1.047871
0.77,1.048528
0.771,1.049005
0.772,1.04941
0.773,1.049812
0.774,1.050266
0.775,1.050829
0.776,1.051303
0.777,1.051775
0.778,1.052355
0.779,1.052748
0.78,1.05312
0.781,1.053506
0.782,1.053859
0.783,1.054437
0.784,1.055024
0.785,1.055472
0.786,1.05583
0.787,1.05618
0.788,1.056502
0.789,1.056797
0.79,1.057215
0.791,1.057598
0.792,1.057933
0.793,1.058267
0.794,1.058575
0.795,1.058784
0.796,1.058983
0.797,1.059372
0.798,1.059665
0.799,1.05993
0.8,1.060167
0.801,1.060156
0.802,1.060409
0.803,1.060757
0.804,1.060932
0.805,1.061005
0.806,1.061145
0.807,1.061391
0.808,1.061701
0.809,1.062043
0.81,1.062318
0.811,1.062584
0.812,1.063016
0.813,1.063286
0.814,1.063492
0.815,1.063754
0.816,1.064116
0.817,1.064336
0.818,1.064492
0.819,1.064711
0.82,1.064979
0.821,1.065267
0.822,1.065592
0.823,1.065954
0.824,1.066154
0.825,1.06626
0.826,1.066366
0.827,1.066563
0.828,1.066763
0.829,1.066945
0.83,1.067117
0.831,1.067323
0.832,1.067718
0.833,1.068009
0.834,1.067996
0.835,1.067901
0.836,1.067799
0.837,1.067722
0.838,1.067688
0.839,1.067788
0.84,1.067914
0.841,1.067955
0.842,1.067842
0.843,1.06769
0.844,1.067672
0.845,1.067771
0.846,1.067808
0.847,1.067882
0.848,1.067858
0.849,1.067723
0.85,1.067665
0.851,1.06775
0.852,1.067784
0.853,1.067708
0.854,1.067881
0.855,1.067995
0.856,1.068019
0.857,1.068007
0.858,1.068004
0.859,1.067983
0.86,1.067908
0.861,1.067761
0.862,1.067672
0.863,1.067548
0.864,1.067392
0.865,1.067303
0.866,1.067513
0.867,1.067715
0.868,1.067783
0.869,1.06783
0.87,1.067872
0.871,1.067836
0.872,1.067702
0.873,1.067553
0.874,1.067624
0.875,1.067727
0.876,1.067713
0.877,1.067703
0.878,1.067714
0.879,1.067695
0.88,1.067631
0.881,1.067687
0.882,1.067627
0.883,1.067477
0.884,1.067324
0.885,1.067042
0.886,1.067007
0.887,1.067076
0.888,1.066953
0.889,1.066963
0.89,1.066946
0.891,1.066865
0.892,1.066779
0.893,1.066667
0.894,1.066706
0.895,1.066805
0.896,1.06669
0.897,1.06655
0.898,1.066373
0.899,1.066244
0.9,1.066336
0.901,1.066392
0.902,1.066503
0.903,1.066619
0.904,1.06648
0.905,1.066249
0.906,1.065968
0.907,1.065764
0.908,1.065891
0.909,1.066218
0.91,1.066397
0.911,1.066335
0.912,1.066446
0.913,1.066292
0.914,1.066173
0.915,1.066318
0.916,1.066442
0.917,1.066331
0.918,1.066278
0.919,1.06644
0.92,1.066296
0.921,1.066061
0.922,1.065938
0.923,1.065989
0.924,1.065911
0.925,1.065931
0.926,1.06603
0.927,1.066116
0.928,1.066137
0.929,1.06619
0.93,1.066183
0.931,1.066073
0.932,1.066174
0.933,1.066104
0.934,1.066004
0.935,1.066069
0.936,1.066039
0.937,1.065862
0.938,1.065732
0.939,1.065797
0.94,1.065704
0.941,1.065729
0.942,1.065793
0.943,1.065741
0.944,1.065603
0.945,1.065725
0.946,1.065757
0.947,1.06543
0.948,1.065608
0.949,1.065696
0.95,1.065703
0.951,1.065752
0.952,1.065586
0.953,1.06581
0.954,1.066072
0.955,1.065999
0.956,1.06614
0.957,1.066087
0.958,1.065974
0.959,1.066016
0.96,1.066177
0.961,1.066278
0.962,1.066365
0.963,1.066512
0.964,1.066705
0.965,1.06664
0.966,1.066594
0.967,1.066644
0.968,1.066218
0.969,1.066007
0.97,1.065898
0.971,1.065685
0.972,1.065356
0.973,1.065041
0.974,1.064804
0.975,1.064573
0.976,1.064151
0.977,1.063711
0.978,1.063383
0.979,1.06323
0.98,1.063206
0.981,1.062957
0.982,1.062842
0.983,1.062725
0.984,1.062148
0.985,1.061976
0.986,1.062062
0.987,1.062077
0.988,1.061864
0.989,1.06241
0.99,1.062516
0.991,1.062532
0.992,1.063227
0.993,1.063464
0.994,1.063714
0.995,1.064008
0.996,1.064208
0.997,1.064217
0.998,1.06466
0.999,1.064986
1.0,1.065001
1.001,1.072293
1.002,1.072558
1.003,1.072887
1.004,1.073087
1.005,1.073252
1.006,1.073408
1.007,1.073454
1.008,1.073549
1.009,1.07374
1.01,1.073904
1.011,1.074001
1.012,1.073991
1.013,1.073993
1.014,1.074062
1.015,1.074134
1.016,1.074277
1.017,1.074398
1.018,1.074516
1.019,1.07459
1.02,1.074664
1.021,1.074733
1.022,1.07475
1.023,1.074878
1.024,1.075084
1.025,1.075237
1.026,1.075396
1.027,1.075535
1.028,1.075513
1.029,1.075428
1.03,1.075384
1.031,1.075397
1.032,1.075449
1.033,1.075676
1.034,1.075737
1.035,1.075761
1.036,1.075679
1.037,1.075644
1.038,1.07573
1.039,1.075899
1.04,1.076115
1.041,1.076266
1.042,1.076324
1.043,1.07639
1.044,1.076483
1.045,1.076615
1.046,1.076757
1.047,1.076887
1.048,1.077008
1.049,1.077159
1.05,1.077317
1.051,1.077457
1.052,1.077662
1.053,1.077892
1.054,1.078101
1.055,1.078338
1.056,1.078544
1.057,1.07877
1.058,1.079007
1.059,1.079176
1.06,1.079328
1.061,1.079488
1.062,1.079689
1.063,1.079909
1.064,1.080182
1.065,1.080484
1.066,1.080736
1.067,1.08094
1.068,1.081065
1.069,1.081187
1.07,1.081372
1.071,1.081542
1.072,1.08174
1.073,1.081928
1.074,1.082136
1.075,1.082333
1.076,1.082483
1.077,1.082716
1.078,1.082958
1.079,1.083212
1.08,1.083405
1.081,1.083614
1.082,1.083802
1.083,1.083991
1.084,1.084208
1.085,1.084448
1.086,1.084764
1.087,1.084927
1.088,1.084975
1.089,1.085127
1.09,1.085198
1.091,1.085246
1.092,1.085379
1.093,1.085432
1.094,1.085352
1.095,1.085393
1.096,1.085481
1.097,1.085546
1.098,1.085611
1.099,1.085735
1.1,1.085788
1.101,1.085778
1.102,1.085784
1.103,1.085717
1.104,1.085599
1.105,1.085525
1.106,1.085463
1.107,1.085411
1.108,1.085384
1.109,1.085379
1.11,1.085376
1.111,1.085396
1.112,1.085392
1.113,1.085409
1.114,1.085379
1.115,1.085295
1.116,1.085175
1.117,1.085035
1.118,1.084905
1.119,1.084763
1.12,1.084668
1.121,1.0846
1.122,1.084522
1.123,1.084482
1.124,1.084428
1.125,1.084378
1.126,1.084317
1.127,1.084286
1.128,1.084258
1.129,1.084253
1.13,1.084284
1.131,1.084308
1.132,1.084284
1.133,1.084245
1.134,1.084212
1.135,1.084137
1.136,1.084042
1.137,1.083967
1.138,1.083847
1.139,1.08374
1.14,1.083673
1.141,1.08359
1.142,1.083511
1.143,1.083464
1.144,1.083362
1.145,1.083249
1.146,1.083091
1.147,1.082904
1.148,1.082654
1.149,1.082396
1.15,1.082148
1.151,1.081886
1.152,1.081661
1.153,1.081427
1.154,1.081185
1.155,1.080983
1.156,1.080771
1.157,1.08059
1.158,1.080458
1.159,1.080287
1.16,1.080126
1.161,1.07993
1.162,1.079682
1.163,1.079458
1.164,1.079231
1.165,1.079024
1.166,1.078829
1.167,1.078654
1.168,1.078437
1.169,1.078211
1.17,1.078029
1.171,1.077847
1.172,1.077702
1.173,1.077537
1.174,1.077312
1.175,1.076984
1.176,1.076779
1.177,1.07657
1.178,1.076433
1.179,1.076403
1.18,1.076316
1.181,1.076248
1.182,1.07615
1.183,1.076013
1.184,1.075927
1.185,1.07584
1.186,1.075768
1.187,1.075771
1.188,1.075755
1.189,1.075754
1.19,1.075755
1.191,1.075709
1.192,1.075662
1.193,1.075609
1.194,1.075534
1.195,1.075464
1.196,1.075388
1.197,1.075321
1.198,1.075254
1.199,1.075191
1.2,1.075127
1.201,1.075086
1.202,1.075066
1.203,1.075021
1.204,1.07496
1.205,1.074923
1.206,1.074924
1.207,1.074958
1.208,1.075052
1.209,1.075139
1.21,1.075212
1.211,1.075268
1.212,1.075332
1.213,1.07538
1.214,1.075478
1.215,1.075571
1.216,1.075712
1.217,1.075914
1.218,1.076114
1.219,1.076322
1.22,1.07657
1.221,1.076858
1.222,1.077142
1.223,1.077467
1.224,1.077779
1.225,1.078063
1.226,1.078332
1.227,1.078585
1.228,1.078816
1.229,1.079002
1.23,1.079139
1.231,1.07931
1.232,1.079452
1.233,1.079608
1.234,1.079805
1.235,1.079952
1.236,1.080067
1.237,1.08018
1.238,1.080267
1.239,1.080371
1.24,1.080453
1.241,1.080573
1.242,1.08071
1.243,1.080869
1.244,1.081084
1.245,1.081265
1.246,1.08143
1.247,1.081593
1.248,1.081695
1.249,1.081781
1.25,1.081845
1.251,1.081876
1.252,1.081914
1.253,1.081919
1.254,1.081955
1.255,1.082001
1.256,1.082055
1.257,1.082116
1.258,1.082193
1.259,1.082282
1.26,1.082376
1.261,1.08249
1.262,1.082597
1.263,1.082734
1.264,1.082826
1.265,1.082897
1.266,1.082948
1.267,1.082982
1.268,1.083006
1.269,1.083066
1.27,1.083136
1.271,1.083238
1.272,1.083357
1.273,1.083514
1.274,1.083708
1.275,1.083915
1.276,1.084182
1.277,1.084386
1.278,1.084559
1.279,1.084772
1.28,1.08496
1.281,1.085187
1.282,1.085449
1.283,1.08573
1.284,1.086044
1.285,1.08634
1.286,1.086654
1.287,1.086967
1.288,1.087284
1.289,1.087571
1.29,1.087829
1.291,1.088112
1.292,1.088379
1.293,1.088624
1.294,1.088851
1.295,1.089097
1.296,1.089293
1.297,1.089427
1.298,1.089587
1.299,1.089748
1.3,1.089888
1.301,1.090017
1.302,1.090139
1.303,1.090229
1.304,1.090349
1.305,1.090494
1.306,1.09061
1.307,1.090721
1.308,1.090834
1.309,1.090918
1.31,1.091022
1.311,1.091158
1.312,1.091283
1.313,1.09138
1.314,1.091449
1.315,1.09148
1.316,1.091468
1.317,1.091447
1.318,1.091415
1.319,1.091326
1.32,1.0912
1.321,1.091058
1.322,1.090856
1.323,1.090687
1.324,1.090529
1.325,1.090347
1.326,1.090151
1.327,1.089958
1.328,1.089753
1.329,1.089543
1.33,1.089333
1.331,1.089121
1.332,1.088921
1.333,1.08868
1.334,1.08844
1.335,1.088158
1.336,1.087837
1.337,1.087475
1.338,1.087117
1.339,1.086734
1.34,1.086354
1.341,1.085965
1.342,1.085571
1.343,1.085181
1.344,1.084754
1.345,1.084307
1.346,1.083855
1.347,1.08338
1.348,1.082894
1.349,1.082388
1.35,1.081901
1.351,1.081402
1.352,1.080913
1.353,1.080438
1.354,1.079964
1.355,1.07947
1.356,1.079008
1.357,1.078551
1.358,1.078135
1.359,1.077759
1.36,1.077387
1.361,1.077035
1.362,1.076709
1.363,1.076411
1.364,1.076114
1.365,1.075798
1.366,1.075502
1.367,1.075175
1.368,1.074808
1.369,1.074472
1.37,1.074136
1.371,1.073823
1.372,1.073505
1.373,1.073229
1.374,1.072981
1.375,1.072748
1.376,1.072561
1.377,1.072335
1.378,1.072137
1.379,1.07187
1.38,1.071571
1.381,1.071232
1.382,1.07085
1.383,1.070442
1.384,1.070008
1.385,1.069537
1.386,1.069024
1.387,1.068495
1.388,1.067945
1.389,1.067355
1.39,1.066751
1.391,1.066094
1.392,1.065395
1.393,1.064647
1.394,1.063852
1.395,1.063025
1.396,1.06211
1.397,1.061138
1.398,1.060095
1.399,1.058976
1.4,1.057806
1.401,1.05658
1.402,1.055288
1.403,1.053921
1.404,1.052525
1.405,1.051084
1.406,1.049578
1.407,1.048042
1.408,1.046416
1.409,1.044709
1.41,1.042951
1.411,1.041138
1.412,1.039246
1.413,1.037306
1.414,1.035267
1.415,1.033164
1.416,1.030939
1.417,1.028652
1.418,1.026195
1.419,1.023638
1.42,1.020886
1.421,1.01794
1.422,1.014874
1.423,1.011583
1.424,1.008255
1.425,1.004841
1.426,1.001264
1.427,0.997843
1.428,0.994335
1.429,0.991103
1.43,0.987932
1.431,0.985072
1.432,0.982405
1.433,0.979947
1.434,0.977756
1.435,0.975661
1.436,0.973764
1.437,0.971928
1.438,0.970237
1.439,0.968614
1.44,0.96703
1.441,0.965655
1.442,0.964294
1.443,0.963342
1.444,0.962511
1.445,0.962208
1.446,0.962246
1.447,0.962758
1.448,0.963747
1.449,0.965103
1.45,0.967044
1.451,0.969078
1.452,0.971582
1.453,0.974034
1.454,0.976747
1.455,0.979305
1.456,0.981996
1.457,0.984431
1.458,0.986764
1.459,0.988882
1.46,0.990801
1.461,0.992542
1.462,0.994054
1.463,0.995444
1.464,0.996678
1.465,0.99771
1.466,0.998719
1.467,0.9996
1.468,1.000443
1.469,1.001204
1.47,1.001923
1.471,1.002543
1.472,1.003198
1.473,1.003827
1.474,1.004438
1.475,1.005052
1.476,1.005621
1.477,1.006131
1.478,1.006674
1.479,1.007213
1.48,1.007735
1.481,1.008272
1.482,1.008764
1.483,1.009214
1.484,1.00967
1.485,1.010123
1.486,1.010541
1.487,1.010923
1.488,1.011324
1.489,1.011711
1.49,1.012089
1.491,1.01248
1.492,1.012854
1.493,1.013186
1.494,1.013547
1.495,1.013926
1.496,1.014297
1.497,1.014695
1.498,1.015051
1.499,1.015363
1.5,1.015706
1.501,1.016042
1.502,1.016378
1.503,1.016752
1.504,1.017094
1.505,1.017419
1.506,1.017724
1.507,1.018024
1.508,1.018289
1.509,1.01848
1.51,1.018716
1.511,1.018959
1.512,1.019205
1.513,1.019414
1.514,1.019635
1.515,1.019838
1.516,1.019989
1.517,1.020168
1.518,1.020378
1.519,1.02055
1.52,1.020706
1.521,1.020831
1.522,1.020927
1.523,1.021049
1.524,1.021131
1.525,1.021278
1.526,1.021483
1.527,1.021649
1.528,1.021825
1.529,1.021991
1.53,1.022132
1.531,1.022308
1.532,1.022525
1.533,1.022678
1.534,1.022836
1.535,1.022944
1.536,1.022989
1.537,1.02304
1.538,1.023059
1.539,1.023098
1.54,1.023148
1.541,1.02316
1.542,1.023173
1.543,1.023154
1.544,1.023067
1.545,1.023029
1.546,1.022984
1.547,1.022977
1.548,1.023
1.549,1.023034
1.55,1.023095
1.551,1.023163
1.552,1.023248
1.553,1.023335
1.554,1.023468
1.555,1.023536
1.556,1.023578
1.557,1.023606
1.558,1.023604
1.559,1.023569
1.56,1.023522
1.561,1.023445
1.562,1.023296
1.563,1.023182
1.564,1.023056
1.565,1.022959
1.566,1.022868
1.567,1.022808
1.568,1.022762
1.569,1.022763
1.57,1.022822
1.571,1.022877
1.572,1.022967
1.573,1.023057
1.574,1.023162
1.575,1.023247
1.576,1.023347
1.577,1.023416
1.578,1.023415
1.579,1.023463
1.58,1.023529
1.581,1.023595
1.582,1.023663
1.583,1.023782
1.584,1.023923
1.585,1.024074
1.586,1.024311
1.587,1.024518
1.588,1.024673
1.589,1.024846
1.59,1.025042
1.591,1.025226
1.592,1.025409
1.593,1.025582
1.594,1.025683
1.595,1.025768
1.596,1.025889
1.597,1.026021
1.598,1.026149
1.599,1.026298
1.6,1.026475
1.601,1.026616
1.602,1.026742
1.603,1.026866
1.604,1.026953
1.605,1.027059
1.606,1.027227
1.607,1.027428
1.608,1.027628
1.609,1.027841
1.61,1.028064
1.611,1.028311
1.612,1.028602
1.613,1.028915
1.614,1.029209
1.615,1.029458
1.616,1.029677
1.617,1.029877
1.618,1.030086
1.619,1.030338
1.62,1.030631
1.621,1.030902
1.622,1.031136
1.623,1.031429
1.624,1.031741
1.625,1.032026
1.626,1.032342
1.627,1.03262
1.628,1.03286
1.629,1.033136
1.63,1.033364
1.631,1.033582
1.632,1.033809
1.633,1.033974
1.634,1.034183
1.635,1.03439
1.636,1.034485
1.637,1.034606
1.638,1.034758
1.639,1.034898
1.64,1.035089
1.641,1.035304
1.642,1.035468
1.643,1.03564
1.644,1.035855
1.645,1.036068
1.646,1.036318
1.647,1.036575
1.648,1.036833
1.649,1.037068
1.65,1.037256
1.651,1.037444
1.652,1.037604
1.653,1.037785
1.654,1.037998
1.655,1.038197
1.656,1.038373
1.657,1.038516
1.658,1.038671
1.659,1.038836
1.66,1.039036
1.661,1.039261
1.662,1.03942
1.663,1.039518
1.664,1.039542
1.665,1.039507
1.666,1.039459
1.667,1.039432
1.668,1.039438
1.669,1.03933
1.67,1.039191
1.671,1.039069
1.672,1.038824
1.673,1.038612
1.674,1.038456
1.675,1.038189
1.676,1.037923
1.677,1.037689
1.678,1.03736
1.679,1.037026
1.68,1.036738
1.681,1.036501
1.682,1.036296
1.683,1.036016
1.684,1.035704
1.685,1.035366
1.686,1.035007
1.687,1.034727
1.688,1.034437
1.689,1.034162
1.69,1.03394
1.691,1.033683
1.692,1.033451
1.693,1.033178
1.694,1.032846
1.695,1.032582
1.696,1.032296
1.697,1.031932
1.698,1.031547
1.699,1.031138
1.7,1.030753
1.701,1.030452
1.702,1.03016
1.703,1.02985
1.704,1.029548
1.705,1.02925
1.706,1.028991
1.707,1.028662
1.708,1.028294
1.709,1.027905
1.71,1.027459
1.711,1.027038
1.712,1.02661
1.713,1.026191
1.714,1.025762
1.715,1.025361
1.716,1.024933
1.717,1.024608
1.718,1.024376
1.719,1.024114
1.72,1.023971
1.721,1.023681
1.722,1.023254
1.723,1.022896
1.724,1.022506
1.725,1.022102
1.726,1.021726
1.727,1.021371
1.728,1.020927
1.729,1.020694
1.73,1.020542
1.731,1.020574
1.732,1.020635
1.733,1.020693
1.734,1.020783
1.735,1.020839
1.736,1.020946
1.737,1.021073
1.738,1.021199
1.739,1.021311
1.74,1.021343
1.741,1.02135
1.742,1.021332
1.743,1.021349
1.744,1.021357
1.745,1.021251
1.746,1.021158
1.747,1.021032
1.748,1.020857
1.749,1.020811
1.75,1.020801
1.751,1.020636
1.752,1.020496
1.753,1.020363
1.754,1.020128
1.755,1.019969
1.756,1.019835
1.757,1.019673
1.758,1.019598
1.759,1.019557
1.76,1.019477
1.761,1.019404
1.762,1.019245
1.763,1.019124
1.764,1.019175
1.765,1.019189
1.766,1.019318
1.767,1.019487
1.768,1.019444
1.769,1.019476
1.77,1.019436
1.771,1.019325
1.772,1.01926
1.773,1.019184
1.774,1.019089
1.775,1.019006
1.776,1.018973
1.777,1.018889
1.778,1.018888
1.779,1.018894
1.78,1.018893
1.781,1.019004
1.782,1.019107
1.783,1.019155
1.784,1.019189
1.785,1.019153
1.786,1.019065
1.787,1.019024
1.788,1.019019
1.789,1.019061
1.79,1.019163
1.791,1.019301
1.792,1.019429
1.793,1.019517
1.794,1.019597
1.795,1.019676
1.796,1.019818
1.797,1.019948
1.798,1.020042
1.799,1.020159
1.8,1.020169
1.801,1.003722
1.802,1.004426
1.803,1.005226
1.804,1.005866
1.805,1.006376
1.806,1.006834
1.807,1.007217
1.808,1.007633
1.809,1.007826
1.81,1.008075
1.811,1.00831
1.812,1.008414
1.813,1.008671
1.814,1.009064
1.815,1.009335
1.816,1.009605
1.817,1.009879
1.818,1.009989
1.819,1.010241
1.82,1.010691
1.821,1.011236
1.822,1.011633
1.823,1.012026
1.824,1.012424
1.825,1.012775
1.826,1.013071
1.827,1.013289
1.828,1.013578
1.829,1.013816
1.83,1.013925
1.831,1.014147
1.832,1.014526
1.833,1.014825
1.834,1.015131
1.835,1.015361
1.836,1.015588
1.837,1.015686
1.838,1.01583
1.839,1.016003
1.84,1.0161
1.841,1.016223
1.842,1.016305
1.843,1.016256
1.844,1.01629
1.845,1.016317
1.846,1.016461
1.847,1.016656
1.848,1.01683
1.849,1.017001
1.85,1.017079
1.851,1.017049
1.852,1.017095
1.853,1.017129
1.854,1.01722
1.855,1.017167
1.856,1.017061
1.857,1.016946
1.858,1.016733
1.859,1.016451
1.86,1.01639
1.861,1.016364
1.862,1.016163
1.863,1.016023
1.864,1.015858
1.865,1.015704
1.866,1.01534
1.867,1.014903
1.868,1.014515
1.869,1.013961
1.87,1.013279
1.871,1.01276
1.872,1.012228
1.873,1.01161
1.874,1.010934
1.875,1.01017
1.876,1.009331
1.877,1.008364
1.878,1.007315
1.879,1.006243
1.88,1.005173
1.881,1.004062
1.882,1.002881
1.883,1.001763
1.884,1.000532
1.885,0.999172
1.886,0.997677
1.887,0.996076
1.888,0.994343
1.889,0.992592
1.89,0.990806
1.891,0.988988
1.892,0.986967
1.893,0.984772
1.894,0.982455
1.895,0.980143
1.896,0.977734
1.897,0.975275
1.898,0.972745
1.899,0.970287
1.9,0.967581
1.901,0.964831
